name	x	y	z	impedance 
Fp1 	49.891 	 148.298 	 137.136 	0.000000 
Fp2 	51.261 	 97.537 	 139.949 	0.000000 
F3 	73.824 	 167.594 	 92.557 	0.000000 
F4 	77.711 	 79.506 	 93.043 	0.000000 
C3 	123.561 	 178.636 	 70.013 	3.000000 
C4 	127.411 	 71.348 	 72.190 	2.000000 
P3 	176.634 	 175.640 	 59.536 	3.000000 
P4 	184.589 	 84.851 	 59.545 	2.000000 
O1 	221.459 	 163.958 	 92.817 	2.000000 
O2 	226.417 	 107.007 	 94.862 	5.000000 
F7 	88.181 	 187.689 	 132.260 	2.000000 
F8 	90.066 	 64.774 	 132.047 	1.000000 
T7 	137.772 	 200.159 	 120.637 	3.000000 
T8 	142.200 	 52.723 	 122.932 	3.000000 
P7 	186.915 	 196.283 	 106.440 	2.000000 
P8 	197.313 	 65.040 	 99.188 	4.000000 
Fz 	63.618 	 122.744 	 79.939 	0.000000 
Cz 	114.861 	 127.983 	 49.704 	3.000000 
Pz 	180.105 	 128.948 	 46.123 	2.000000 
Iz 	236.300 	 135.338 	 119.956 	4.000000 
FC1 	91.353 	 149.014 	 63.850 	2.000000 
FC2 	97.253 	 94.313 	 65.090 	2.000000 
CP1 	149.600 	 157.578 	 49.986 	1.000000 
CP2 	150.034 	 99.401 	 48.167 	4.000000 
FC5 	102.753 	 189.457 	 101.613 	1.000000 
FC6 	106.101 	 61.459 	 104.993 	4.000000 
CP5 	158.998 	 194.694 	 81.279 	3.000000 
CP6 	163.179 	 59.279 	 87.877 	3.000000 
TP9 	174.003 	 199.712 	 133.895 	3.000000 
TP10 	182.247 	 57.841 	 146.708 	4.000000 
31 	176.991 	 197.151 	 168.854 	4.000000 
32 	178.082 	 56.928 	 166.629 	2.000000 
F1 	67.924 	 144.607 	 79.823 	1.000000 
F2 	69.865 	 97.486 	 82.699 	3.000000 
C1 	121.735 	 155.015 	 54.838 	2.000000 
C2 	124.387 	 98.140 	 54.411 	3.000000 
P1 	174.943 	 156.732 	 49.480 	3.000000 
P2 	180.348 	 103.155 	 49.047 	3.000000 
AF3 	51.333 	 152.545 	 108.666 	0.000000 
AF4 	49.925 	 97.083 	 112.602 	0.000000 
FC3 	100.330 	 175.751 	 79.283 	3.000000 
FC4 	98.552 	 76.385 	 80.665 	3.000000 
CP3 	151.703 	 183.993 	 65.691 	1.000000 
CP4 	154.025 	 74.696 	 61.162 	2.000000 
PO3 	207.231 	 159.043 	 69.806 	2.000000 
PO4 	208.903 	 99.398 	 72.301 	3.000000 
F5 	75.966 	 178.261 	 107.502 	1.000000 
F6 	80.874 	 69.864 	 111.958 	1.000000 
C5 	130.478 	 194.319 	 94.374 	1.000000 
C6 	135.234 	 58.207 	 95.702 	3.000000 
P5 	189.831 	 188.299 	 80.391 	2.000000 
P6 	190.513 	 67.286 	 82.148 	3.000000 
AF7 	66.835 	 175.394 	 136.716 	1.000000 
AF8 	65.796 	 76.984 	 133.788 	5.000000 
FT7 	112.264 	 196.257 	 124.510 	2.000000 
FT8 	116.984 	 56.621 	 126.780 	3.000000 
TP7 	167.661 	 200.265 	 113.620 	1.000000 
TP8 	173.390 	 55.568 	 114.191 	2.000000 
PO7 	212.787 	 178.219 	 97.060 	3.000000 
PO8 	214.688 	 80.851 	 101.038 	2.000000 
Fpz 	47.777 	 125.238 	 142.714 	1.000000 
CPz 	147.261 	 123.581 	 43.389 	5.000000 
POz 	208.848 	 127.978 	 65.149 	3.000000 
Oz 	227.787 	 127.993 	 91.042 	2.000000 
