onset	duration	value	responce	rt	good	TMSips	TMSppc	TMSvertex	a	bias	delta	fixed	p	pv	ronda
13.054	1	10	1725.7	1725.7	1	0	0	1	0	0	0	0	0.7	0.7	1
14.7874	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
15.8474	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
15.9474	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
16.154	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-5.457e-12	0	n/a	n/a	n/a
18.1704	1	10	1617.3	1617.3	1	0	0	1	0	0	-0.1	0	0.5	0.5	2
19.8036	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
21.7046	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
21.8046	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
22.0202	1	30	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
24.0368	1	10	1798.8	1798.8	1	0	0	1	0	0	7.276e-12	0	0.8	0.8	3
25.8534	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-3.638e-12	0	n/a	n/a	n/a
27.1394	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
27.2394	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
27.4532	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
29.4698	1	10	1501.7	1501.7	1	0	0	1	0	0	0.1	0	0.2	0.2	4
30.9864	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-3.638e-12	0	n/a	n/a	n/a
32.9374	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
33.0374	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
33.2528	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
35.2694	1	10	1957.9	1957.9	1	0	0	1	0	0	0.1	0	0.5	0.5	5
37.236	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-7.276e-12	0	n/a	n/a	n/a
38.766	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
