onset	duration	value	responce	rt	good	a	bias	p	pv	ronda
4.0045	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
5.0201	1	10	1	1687.2	1	0	0	0.7	0.7	1
6.7183	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
9.6485	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
13.661	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
14.6766	1	10	2	967.2	1	0	0	0.2	0.2	2
15.6589	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
19.971	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
23.9834	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
24.999	1	10	2	1354.8	1	0	0	0.3	0.3	3
26.3642	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
30.1436	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
34.156	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
35.1716	1	10	1	1194.3	1	0	0	0.9	0.9	4
36.3703	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
40.0664	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
44.0788	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
45.0944	1	10	2	1923.5	1	0.5	0.74192	0.2	0.14192	1
47.0257	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
51.4877	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
55.5001	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
60.5114	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
61.527	1	10	1	1441.7	1	0.6	0.47711	0.5	0.46566	2
62.9755	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
66.0223	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
70.0347	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
72.0492	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
73.0648	1	10	1	1531.8	1	0.8	0.83548	0.9	0.9375	3
74.6132	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
77.3436	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
81.3561	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
83.3706	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
84.3862	1	10	2	1006.5	1	0.7	0.8087	0.2	0.22029	4
85.4018	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
89.7306	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
93.743	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
95.7575	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
96.7731	1	10	1	1175.6	1	0	0	0.9	0.9	1
97.9552	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
101.7345	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
105.747	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
106.7625	1	10	1	827.1	1	0	0	0.9	0.9	2
107.595	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
111.724	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
118.7332	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
119.7488	1	10	1	928.5	1	0	0	0.6	0.6	3
120.6812	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
125.0932	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
129.1056	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
130.1212	1	10	2	801.8	1	0	0	0.1	0.1	4
