onset	duration	value	response	rt	good	a	bias	p	pv	ronda
3.2434	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
4.2578	1	10	1	1273	1	0	0	0.9	0.9	1
5.5383	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
8.8475	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
12.8553	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
13.8697	1	10	2	1649.2	1	0	0	0.1	0.1	2
15.5326	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
19.557	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
23.5647	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
24.5791	1	10	1	1659.8	1	0	0	0.9	0.9	3
26.2421	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
30.1833	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
34.191	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
35.2055	1	10	2	1725.8	1	0	0	0.2	0.2	4
36.9349	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
40.5602	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
44.5679	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
45.5823	1	10	2	1361.8	1	0.4	0.66344	0.3	0.27563	1
46.946	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
49.8216	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
53.8306	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
58.8361	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
59.8505	1	10	2	4168.4	1	0.8	0.89659	0.1	0.086354	2
64.0245	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
67.9824	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
71.9901	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
74.0023	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
75.0167	1	10	2	1450.4	1	0.8	0.64192	0.3	0.067666	3
76.4801	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
79.2905	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
83.2982	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
85.3104	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
86.3248	1	10	2	2142.7	1	0.6	0.90091	0.1	0.10137	4
88.47	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
92.9268	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
96.9345	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
98.9467	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
99.9611	1	10	2	3777.1	1	0	0	0.8	0.8	1
103.7526	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
107.7936	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
111.8014	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
112.8158	1	10	1	1327	1	0	0	0.8	0.8	2
114.1461	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
117.9709	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
124.9886	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
126.003	1	10	1	1474	1	0	0	0.8	0.8	3
127.4831	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
131.0917	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
135.0994	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
136.1138	1	10	2	1485.5	1	0	0	0.1	0.1	4
137.6105	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
140.7368	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
144.7446	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
145.759	1	10	1	4101	1	0.4	0.45585	0.8	0.97056	1
149.8665	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
152.8931	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
156.9008	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
158.913	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
159.9274	1	10	1	3787.6	1	0.5	0.11217	0.6	0.31217	2
163.7189	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
166.3132	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
170.3209	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
172.3331	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
173.3475	1	10	1	3759.6	1	0.7	0.27945	0.7	0.65206	3
177.1224	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
179.9827	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
183.9904	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
189.0126	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
190.027	1	10	2	4288.3	1	0.5	0.12215	0.7	0.52215	4
194.3174	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
198.4748	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
202.4825	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
204.4947	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
205.5091	1	10	1	1516.8	1	0	0	0.8	0.8	1
207.039	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
211.2962	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
215.3206	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
216.335	1	10	1	6738.1	1	0	0	0.5	0.5	2
223.0866	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
226.2628	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
230.2872	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
231.3016	1	10	2	1224.9	1	0	0	0.4	0.4	3
232.5322	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
235.4923	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
239.5166	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
240.531	1	10	2	977.3	1	0	0	0.3	0.3	4
241.5122	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
245.9689	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
252.9866	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
254.001	1	10	1	1122.9	1	0.5	0.7509	0.6	0.9509	1
255.1318	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
258.0087	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
262.0165	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
264.0286	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
265.043	1	10	1	1046.1	1	0.4	0.60156	0.7	0.90104	2
266.0907	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
268.635	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
272.6428	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
274.655	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
275.6694	1	10	2	5575.3	1	0.8	0.033834	0.3	0.0625	3
281.2569	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
284.7824	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
288.7901	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
