onset	duration	value	responce	rt	good	TMSips	TMSppc	TMSvertex	a	bias	delta	fixed	p	pv	ronda
58.1482	1	10	2206.4	2206.4	1	1	0	0	0	0	0	0	0.2	0.2	1
60.3646	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
61.8276	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-2.9104e-11	0	n/a	n/a	n/a
61.9276	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
62.1312	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	2.1828e-11	0	n/a	n/a	n/a
64.1478	1	10	3230.7	3230.7	1	1	0	0	0	0	0.1	0	0.7	0.7	2
67.381	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-1.4552e-11	0	n/a	n/a	n/a
68.525	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
68.625	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
68.8308	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
70.8474	1	10	1762.9	1762.9	1	1	0	0	0	0	-4.3656e-11	0	0.8	0.8	3
72.614	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
73.859	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
73.959	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
74.1638	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	1.4552e-11	0	n/a	n/a	n/a
76.1804	1	10	2061.8	2061.8	1	1	0	0	0	0	-4.3656e-11	0	0.1	0.1	4
78.247	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	2.9104e-11	0	n/a	n/a	n/a
79.625	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
79.725	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
79.9302	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-1.4552e-11	0	n/a	n/a	n/a
81.9468	1	10	3543.3	3543.3	1	1	0	0	0	0	2.9104e-11	0	0.2	0.2	5
85.4966	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-4.3656e-11	0	n/a	n/a	n/a
86.8966	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
86.9966	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
87.213	1	30	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
89.2296	1	10	2388.2	2388.2	1	1	0	0	0	0	2.9104e-11	0	0.2	0.2	6
91.6294	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
92.9474	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
93.0474	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
93.2628	1	30	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.2	0	n/a	n/a	n/a
95.2792	1	10	1362.5	1362.5	1	1	0	0	0	0	-0.1	0	0.3	0.3	7
96.6458	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-2.9104e-11	0	n/a	n/a	n/a
98.4418	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
98.5418	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
98.7458	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.2	0	n/a	n/a	n/a
100.7622	1	10	2375.3	2375.3	1	1	0	0	0	0	-0.2	0	0.1	0.1	8
103.1454	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-1.4552e-11	0	n/a	n/a	n/a
104.8884	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
104.9884	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
105.1954	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
107.2118	1	10	2725.6	2725.6	1	1	0	0	0	0	-0.1	0	0.9	0.9	9
109.945	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-1.4552e-11	0	n/a	n/a	n/a
111.366	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
111.466	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
111.6784	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.2	0	n/a	n/a	n/a
113.6948	1	10	1154.5	1154.5	1	1	0	0	0	0	-0.2	0	0.8	0.8	10
114.8614	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-4.3656e-11	0	n/a	n/a	n/a
116.4894	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
116.5894	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
