onset	duration	value	response	rt	good	a	bias	p	pv	ronda
4.2683	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
5.2827	1	10	1	2746.8	1	0	0	0.3	0.3	1
8.0431	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
11.4022	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
15.4098	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
16.4241	1	10	2	2596.2	1	0	0	0.3	0.3	2
19.0349	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
23.242	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
27.2496	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
28.264	1	10	2	2254	1	0	0	0.7	0.7	3
30.5256	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
33.1363	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
37.1439	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
38.1583	1	10	1	3581	1	0	0	0.5	0.5	4
41.7502	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
45.2256	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
49.2333	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
50.2476	1	10	2	2882.7	1	0.5	0.29961	0.7	0.69961	1
53.1411	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
57.0323	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
61.0399	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
66.0619	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
67.0762	1	10	2	2702.2	1	0.8	0.21934	0.6	0.0625	2
69.7868	1	20	4	2540.7	1	n/a	n/a	n/a	n/a	n/a
73.2456	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
77.2532	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
79.2653	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
80.2797	1	10	1	2084.2	1	0.4	0.82813	0.1	0.052086	3
82.375	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
86.5488	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
90.5565	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
92.5686	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
93.5829	1	10	2	3052.1	1	0.4	0.54066	0.5	0.5271	4
96.6427	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
99.32	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
103.3276	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
105.3397	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
106.3541	1	10	1	2517	1	0	0	0.3	0.3	1
108.8817	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
111.4259	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
115.4335	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
116.4479	1	10	2	2359.2	1	0	0	0.4	0.4	2
118.8092	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
122.9997	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
130.0172	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
131.0315	1	10	1	1418	1	0	0	0.4	0.4	3
132.4617	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
135.139	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
139.1465	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
140.1609	1	10	1	2485	1	0	0	0.7	0.7	4
142.6553	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
146.297	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
150.3046	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
151.319	1	10	2	3170.4	1	0.7	0.59663	0.5	0.72547	1
154.4952	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
157.5549	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
161.5625	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
163.5746	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
164.589	1	10	1	3986.5	1	0.4	0.8091	0.1	0.039402	2
168.58	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
172.2883	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
176.2959	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
178.308	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
179.3224	1	10	2	2673.2	1	0.7	0.6422	0.1	0.041667	3
181.9996	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
184.6769	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
188.6845	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
193.7065	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
194.7209	1	10	2	1621.2	1	0.5	0.26149	0.7	0.66149	4
196.3505	1	20	3	3055.4	1	n/a	n/a	n/a	n/a	n/a
199.5599	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
203.5675	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
205.5796	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
206.594	1	10	2	854.6	1	0	0	0.9	0.9	1
207.4587	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
210.136	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
214.1602	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
215.1746	1	10	1	3436.6	1	0	0	0.1	0.1	2
218.6168	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
221.3107	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
225.3349	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
226.3493	1	10	2	4096.4	1	0	0	0.6	0.6	3
230.4567	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
234.5474	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
238.5717	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
239.5861	1	10	1	2611.7	1	0	0	0.9	0.9	4
242.2134	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
245.6557	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
252.6731	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
253.6875	1	10	1	3672.9	1	0.7	0.93696	0.3	0.85291	1
257.3625	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
261.0209	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
265.0285	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
267.0406	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
268.055	1	10	1	2432.4	1	0.6	0.9323	0.1	0.14845	2
270.4994	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
274.0913	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
278.0989	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
280.111	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
281.1254	1	10	2	2014.2	1	0.7	0.94537	0.2	0.5392	3
283.1542	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
286.4634	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
290.4709	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
