name	x	y	z	impedance 
Fp1 	49.460 	 149.929 	 113.374 	0.000000 
Fp2 	50.502 	 94.120 	 119.400 	0.000000 
F3 	89.547 	 165.367 	 78.177 	0.000000 
F4 	93.755 	 76.528 	 85.376 	0.000000 
C3 	144.828 	 177.543 	 64.753 	2.000000 
C4 	151.713 	 61.639 	 77.297 	2.000000 
P3 	206.264 	 172.963 	 77.760 	4.000000 
P4 	207.894 	 78.266 	 87.090 	2.000000 
O1 	235.049 	 157.747 	 121.230 	6.000000 
O2 	236.538 	 103.780 	 133.606 	2.000000 
F7 	92.743 	 190.649 	 118.055 	1.000000 
F8 	96.419 	 60.880 	 124.356 	1.000000 
T7 	148.576 	 203.182 	 121.480 	3.000000 
T8 	151.905 	 51.157 	 139.102 	1.000000 
P7 	199.235 	 195.575 	 122.019 	2.000000 
P8 	206.594 	 65.750 	 130.035 	2.000000 
Fz 	86.128 	 114.259 	 64.370 	0.000000 
Cz 	149.946 	 118.385 	 44.791 	2.000000 
Pz 	210.182 	 121.312 	 66.626 	1.000000 
Iz 	234.268 	 128.033 	 157.031 	5.000000 
FC1 	116.568 	 142.948 	 53.739 	2.000000 
FC2 	123.372 	 86.722 	 62.891 	2.000000 
CP1 	180.556 	 147.160 	 48.442 	6.000000 
CP2 	184.167 	 88.952 	 53.750 	2.000000 
FC5 	116.296 	 190.597 	 89.544 	3.000000 
FC6 	121.098 	 56.040 	 106.559 	4.000000 
CP5 	177.837 	 200.045 	 89.918 	3.000000 
CP6 	184.452 	 56.258 	 103.184 	2.000000 
TP9 	180.522 	 200.103 	 155.943 	5.000000 
TP10 	187.298 	 63.826 	 170.376 	1.000000 
31 	187.157 	 193.080 	 171.148 	6.000000 
32 	175.374 	 59.296 	 187.339 	3.000000 
F1 	89.987 	 140.642 	 63.700 	1.000000 
F2 	93.197 	 92.822 	 69.940 	1.000000 
C1 	148.067 	 142.868 	 46.788 	5.000000 
C2 	151.292 	 87.598 	 54.304 	2.000000 
P1 	205.134 	 150.756 	 64.116 	3.000000 
P2 	209.495 	 97.403 	 72.475 	3.000000 
AF3 	67.322 	 148.393 	 87.602 	0.000000 
AF4 	67.497 	 90.176 	 93.765 	0.000000 
FC3 	118.706 	 171.977 	 70.007 	1.000000 
FC4 	121.163 	 67.066 	 80.945 	1.000000 
CP3 	179.448 	 177.706 	 61.583 	2.000000 
CP4 	183.605 	 65.761 	 77.320 	2.000000 
PO3 	226.703 	 154.466 	 94.903 	2.000000 
PO4 	227.322 	 98.225 	 102.266 	2.000000 
F5 	89.456 	 180.838 	 96.455 	1.000000 
F6 	94.350 	 65.356 	 106.124 	1.000000 
C5 	147.343 	 198.609 	 86.032 	1.000000 
C6 	154.682 	 52.578 	 106.054 	1.000000 
P5 	206.182 	 188.434 	 94.111 	4.000000 
P6 	207.806 	 67.779 	 105.884 	2.000000 
AF7 	69.876 	 176.129 	 116.628 	1.000000 
AF8 	73.441 	 73.314 	 125.044 	1.000000 
FT7 	119.846 	 199.413 	 120.714 	2.000000 
FT8 	126.702 	 52.359 	 130.478 	2.000000 
TP7 	174.872 	 203.262 	 123.363 	3.000000 
TP8 	180.286 	 54.504 	 133.626 	2.000000 
PO7 	223.087 	 175.503 	 122.620 	4.000000 
PO8 	222.479 	 80.745 	 131.226 	3.000000 
Fpz 	45.174 	 122.328 	 112.784 	1.000000 
CPz 	183.013 	 117.196 	 47.277 	2.000000 
POz 	230.700 	 124.418 	 95.888 	2.000000 
Oz 	239.349 	 128.009 	 123.939 	3.000000 
