onset	duration	value	response	rt	good	a	bias	p	pv	ronda
4.2262	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
5.2405	1	10	1	4097.6	1	0	0	0.9	0.9	1
9.3479	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
12.3245	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
16.3321	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
17.3465	1	10	1	2674.7	1	0	0	0.8	0.8	2
20.0238	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
24.4637	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
28.4713	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
29.4857	1	10	2	7015.4	1	0	0	0.4	0.4	3
36.5032	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
40.3112	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
44.3188	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
45.3332	1	10	1	1371.4	1	0	0	0.9	0.9	4
46.7134	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
49.3408	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
53.3484	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
54.3628	1	10	1	4835.2	1	0.8	0.12528	0.4	0.0625	1
59.2018	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
63.3258	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
67.3334	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
72.3554	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
73.3698	1	10	1	2389.1	1	0.7	0.055808	0.3	0.041667	2
75.7644	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
79.9715	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
83.9791	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
85.9912	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
87.0056	1	10	2	3421	1	0.7	0.49642	0.1	0.041667	3
90.4312	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
94.1062	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
98.1138	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
100.1259	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
101.1403	1	10	2	3856.1	1	0.6	0.98613	0.1	0.2292	4
104.9982	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
107.742	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
111.7497	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
113.7618	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
114.7761	1	10	2	5054.3	1	0	0	0.4	0.4	1
119.848	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
123.3567	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
127.3643	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
128.3787	1	10	1	1307.6	1	0	0	0.9	0.9	2
129.6924	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
133.9661	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
140.9835	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
141.9979	1	10	2	1683.5	1	0	0	0.1	0.1	3
143.6941	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
147.9345	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
151.9421	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
152.9565	1	10	1	1737.3	1	0	0	0.7	0.7	4
154.7025	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
159.1258	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
163.1334	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
164.1478	1	10	2	2486.4	1	0.4	0.40849	0.3	0.10566	1
166.6422	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
169.3361	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
173.3437	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
175.3558	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
176.3702	1	10	2	4266.2	1	0.7	0.49452	0.4	0.15389	2
180.6438	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
184.0361	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
188.0437	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
190.0559	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
191.0702	1	10	1	3822.2	1	0.5	0.69932	0.5	0.69932	3
194.8949	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
197.9879	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
201.9955	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
207.0175	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
208.0319	1	10	2	1639.4	1	0.7	0.040837	0.9	0.76195	4
209.6782	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
212.8377	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
216.8453	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
218.8574	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
219.8718	1	10	2	4890.2	1	0	0	0.4	0.4	1
224.7773	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
228.8182	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
232.8424	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
233.8568	1	10	2	5343.7	1	0	0	0.3	0.3	2
239.2114	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
242.321	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
246.3452	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
247.3596	1	10	2	1604.7	1	0	0	0.1	0.1	3
248.9726	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
252.4148	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
256.4391	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
257.4534	1	10	2	2858.5	1	0	0	0.7	0.7	4
260.3136	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
263.0907	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
270.1081	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
271.1225	1	10	1	3121.5	1	0.6	0.2493	0.7	0.62394	1
274.2488	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
278.14	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
282.1476	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
