name	x	y	z	impedance 
Fp1 	55.214 	 153.941 	 137.596 	0.000000 
Fp2 	54.755 	 104.614 	 143.637 	0.000000 
F3 	78.491 	 167.103 	 98.009 	0.000000 
F4 	81.116 	 84.979 	 99.747 	3.000000 
C3 	126.776 	 185.642 	 84.869 	2.000000 
C4 	132.122 	 75.014 	 72.671 	1.000000 
P3 	190.683 	 178.571 	 77.092 	1.000000 
P4 	195.020 	 82.329 	 73.978 	2.000000 
O1 	224.189 	 162.290 	 121.703 	5.000000 
O2 	228.698 	 103.584 	 117.534 	1.000000 
F7 	89.975 	 185.631 	 145.522 	1.000000 
F8 	89.663 	 70.764 	 139.835 	0.000000 
T7 	136.980 	 198.313 	 140.290 	2.000000 
T8 	141.521 	 55.793 	 138.329 	1.000000 
P7 	185.221 	 193.218 	 136.589 	3.000000 
P8 	190.888 	 64.791 	 126.248 	1.000000 
Fz 	69.299 	 123.812 	 82.544 	0.000000 
Cz 	125.652 	 126.529 	 49.936 	1.000000 
Pz 	192.271 	 128.908 	 58.651 	2.000000 
Iz 	227.833 	 129.697 	 152.615 	3.000000 
FC1 	96.777 	 152.479 	 68.994 	0.000000 
FC2 	105.750 	 93.368 	 69.727 	0.000000 
CP1 	158.963 	 159.229 	 52.572 	1.000000 
CP2 	161.983 	 96.270 	 52.865 	1.000000 
FC5 	105.566 	 190.143 	 114.518 	2.000000 
FC6 	105.881 	 66.374 	 111.164 	1.000000 
CP5 	160.179 	 197.546 	 107.491 	2.000000 
CP6 	164.115 	 58.779 	 101.051 	1.000000 
TP9 	167.994 	 197.639 	 173.089 	4.000000 
TP10 	171.419 	 59.329 	 162.075 	1.000000 
31 	162.890 	 189.031 	 188.954 	3.000000 
32 	167.186 	 65.510 	 182.470 	5.000000 
F1 	74.230 	 147.295 	 82.901 	0.000000 
F2 	75.460 	 101.943 	 84.604 	0.000000 
C1 	126.929 	 155.512 	 55.674 	2.000000 
C2 	129.573 	 96.436 	 56.557 	3.000000 
P1 	189.037 	 157.340 	 58.972 	5.000000 
P2 	191.261 	 104.402 	 57.286 	3.000000 
AF3 	62.126 	 156.755 	 112.030 	0.000000 
AF4 	61.478 	 100.424 	 114.111 	7.000000 
FC3 	103.546 	 177.099 	 86.802 	1.000000 
FC4 	100.715 	 77.995 	 88.671 	5.000000 
CP3 	160.533 	 185.375 	 73.691 	1.000000 
CP4 	161.839 	 70.601 	 71.475 	1.000000 
PO3 	215.471 	 160.147 	 92.414 	2.000000 
PO4 	217.716 	 101.758 	 88.820 	2.000000 
F5 	82.006 	 179.059 	 120.616 	1.000000 
F6 	82.266 	 76.935 	 119.317 	3.000000 
C5 	132.574 	 197.496 	 108.543 	2.000000 
C6 	137.979 	 57.303 	 106.835 	1.000000 
P5 	190.958 	 189.017 	 108.911 	3.000000 
P6 	194.791 	 69.706 	 101.496 	3.000000 
AF7 	70.460 	 177.053 	 143.386 	1.000000 
AF8 	69.339 	 81.169 	 140.315 	2.000000 
FT7 	113.652 	 193.344 	 141.916 	5.000000 
FT8 	117.703 	 60.571 	 143.372 	1.000000 
TP7 	166.696 	 196.672 	 143.003 	4.000000 
TP8 	166.111 	 56.639 	 133.159 	1.000000 
PO7 	212.047 	 177.414 	 128.959 	1.000000 
PO8 	214.552 	 78.792 	 128.035 	2.000000 
Fpz 	49.958 	 128.012 	 135.251 	2.000000 
CPz 	165.974 	 125.210 	 45.426 	3.000000 
POz 	220.603 	 128.007 	 87.930 	2.000000 
Oz 	232.288 	 126.273 	 119.381 	3.000000 
