onset	duration	value	responce	rt	good	a	bias	p	pv	ronda
3.6686	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
4.6842	1	10	1	2373.6	1	0	0	0.9	0.9	1
7.065	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
11.5103	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
15.5227	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
16.5383	1	10	1	1889.8	1	0	0	0.3	0.3	2
18.4363	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
22.9316	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
26.944	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
27.9596	1	10	1	1180.5	1	0	0	0.4	0.4	3
29.1417	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
31.8721	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
35.8845	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
36.9001	1	10	2	1916.8	1	0	0	0.6	0.6	4
38.8314	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
43.2934	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
47.3058	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
48.3214	1	10	1	2521.1	1	0.4	0.46025	0.7	0.80683	1
50.852	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
54.032	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
58.0444	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
63.0558	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
64.0714	1	10	1	3779.7	1	0.8	0.35556	0.4	0.0625	2
67.8674	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
70.5645	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
74.577	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
76.5915	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
