onset	duration	value	response	rt	good	a	bias	p	pv	ronda
2.772	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
3.7864	1	10	2	3479.5	1	0	0	0.6	0.6	1
7.2785	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
11.5023	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
15.5099	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
16.5242	1	10	2	1180.2	1	0	0	0.2	0.2	2
17.7215	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
22.0617	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
26.0693	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
27.0837	1	10	2	1627.1	1	0	0	0.3	0.3	3
28.7133	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
32.4715	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
36.4791	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
37.4935	1	10	2	1649.1	1	0	0	0.6	0.6	4
39.1564	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
42.266	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
46.2736	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
47.288	1	10	2	2918	1	0.5	0.80919	0.5	0.80919	1
50.2147	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
53.0583	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
57.0659	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
62.0712	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
63.0856	1	10	1	1818.2	1	0.8	0.73153	0.3	0.42611	2
64.9148	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
68.1076	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
72.1152	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
74.1273	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
75.1417	1	10	2	1710.6	1	0.8	0.42346	0.6	0.69383	3
76.8545	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
80.4463	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
84.4539	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
