name	x	y	z	impedance 
Fp1 	47.721 	 154.937 	 118.412 	1.000000 
Fp2 	51.930 	 91.490 	 119.427 	0.000000 
F3 	80.060 	 165.778 	 77.036 	0.000000 
F4 	90.265 	 73.977 	 83.029 	1.000000 
C3 	139.604 	 181.793 	 61.381 	2.000000 
C4 	146.382 	 65.000 	 68.338 	4.000000 
P3 	203.792 	 177.385 	 71.527 	8.000000 
P4 	202.514 	 72.995 	 74.208 	3.000000 
O1 	238.774 	 158.841 	 111.800 	5.000000 
O2 	242.357 	 106.578 	 115.382 	3.000000 
F7 	84.431 	 189.653 	 121.978 	1.000000 
F8 	96.873 	 58.720 	 131.700 	4.000000 
T7 	140.538 	 203.519 	 128.096 	3.000000 
T8 	151.152 	 50.728 	 133.375 	1.000000 
P7 	199.625 	 198.001 	 122.934 	6.000000 
P8 	205.486 	 60.801 	 126.955 	3.000000 
Fz 	78.247 	 118.699 	 59.519 	3.000000 
Cz 	144.170 	 122.386 	 33.900 	4.000000 
Pz 	208.293 	 127.970 	 53.156 	1.000000 
Iz 	243.323 	 133.862 	 150.170 	3.000000 
FC1 	106.776 	 150.074 	 47.523 	6.000000 
FC2 	117.089 	 90.584 	 52.107 	1.000000 
CP1 	173.988 	 157.756 	 41.236 	1.000000 
CP2 	176.325 	 90.403 	 44.312 	2.000000 
FC5 	109.357 	 193.332 	 95.009 	6.000000 
FC6 	120.254 	 56.672 	 102.512 	3.000000 
CP5 	169.834 	 203.136 	 89.547 	3.000000 
CP6 	181.340 	 52.855 	 98.163 	2.000000 
TP9 	180.840 	 198.246 	 159.338 	5.000000 
TP10 	185.337 	 60.123 	 167.329 	3.000000 
31 	177.350 	 198.193 	 186.459 	3.000000 
32 	176.149 	 64.448 	 197.854 	5.000000 
F1 	79.936 	 143.503 	 61.955 	5.000000 
F2 	85.476 	 95.047 	 64.849 	1.000000 
C1 	138.939 	 152.290 	 39.247 	1.000000 
C2 	146.467 	 92.926 	 44.600 	5.000000 
P1 	203.058 	 155.479 	 55.089 	2.000000 
P2 	204.978 	 95.409 	 59.932 	2.000000 
AF3 	56.084 	 151.762 	 90.902 	9.000000 
AF4 	63.599 	 86.294 	 97.347 	3.000000 
FC3 	106.837 	 176.231 	 66.321 	1.000000 
FC4 	119.100 	 68.992 	 73.047 	7.000000 
CP3 	171.611 	 185.061 	 58.479 	7.000000 
CP4 	181.030 	 65.948 	 66.401 	3.000000 
PO3 	225.765 	 163.840 	 88.290 	3.000000 
PO4 	230.681 	 96.679 	 93.001 	2.000000 
F5 	82.016 	 181.702 	 99.957 	6.000000 
F6 	91.292 	 64.488 	 108.365 	5.000000 
C5 	141.331 	 199.074 	 90.410 	1.000000 
C6 	150.351 	 52.258 	 99.024 	3.000000 
P5 	202.409 	 191.947 	 93.656 	2.000000 
P6 	206.612 	 64.050 	 99.564 	2.000000 
AF7 	65.770 	 176.247 	 116.157 	1.000000 
AF8 	70.653 	 73.483 	 126.412 	4.000000 
FT7 	116.704 	 198.958 	 121.948 	3.000000 
FT8 	122.904 	 51.843 	 134.430 	2.000000 
TP7 	171.817 	 203.983 	 122.712 	3.000000 
TP8 	182.010 	 55.532 	 131.217 	2.000000 
PO7 	223.249 	 181.874 	 117.044 	3.000000 
PO8 	226.437 	 76.582 	 119.078 	2.000000 
Fpz 	43.336 	 119.429 	 119.838 	0.000000 
CPz 	177.039 	 121.638 	 34.428 	3.000000 
POz 	232.902 	 129.858 	 81.589 	2.000000 
Oz 	245.135 	 133.879 	 116.120 	4.000000 
