onset	duration	value	response	rt	good	TMSips	TMSppc	TMSvertex	a	bias	p	pv	ronda
159.5154	1	9	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
160.532	1	10	2	2101	1	0	1	0	0	0	0.3	0.3	1
162.6484	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
166.4724	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
166.5724	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
166.9816	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
170.998	1	9	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
172.0146	1	10	2	1322	1	0	1	0	0	0	0.1	0.1	2
173.3478	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
177.2268	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
177.3268	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
177.7308	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
181.7474	1	9	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
182.764	1	10	2	2092	1	0	1	0	0	0	0.2	0.2	3
184.8638	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
187.4198	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
187.5198	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
187.9302	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
191.9468	1	9	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
192.9634	1	10	1	1861	1	0	1	0	0	0	0.7	0.7	4
194.8298	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
197.6108	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
197.7108	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
