name	x	y	z	impedance 
Fp1 	53.490 	 159.189 	 122.112 	0.000000 
Fp2 	50.413 	 100.381 	 122.932 	0.000000 
F3 	87.756 	 171.544 	 80.743 	0.000000 
F4 	84.087 	 83.389 	 82.939 	3.000000 
C3 	145.624 	 183.065 	 66.348 	1.000000 
C4 	143.748 	 67.046 	 73.820 	1.000000 
P3 	207.330 	 175.408 	 75.298 	2.000000 
P4 	208.134 	 78.109 	 77.747 	3.000000 
O1 	239.038 	 156.794 	 122.132 	1.000000 
O2 	238.890 	 99.216 	 122.163 	1.000000 
F7 	95.678 	 190.528 	 124.807 	2.000000 
F8 	90.848 	 65.962 	 124.084 	2.000000 
T7 	150.290 	 200.265 	 127.059 	3.000000 
T8 	144.026 	 54.665 	 134.363 	1.000000 
P7 	203.589 	 195.145 	 128.006 	3.000000 
P8 	201.685 	 62.656 	 127.970 	1.000000 
Fz 	81.999 	 126.365 	 62.624 	0.000000 
Cz 	146.421 	 126.193 	 39.726 	2.000000 
Pz 	214.754 	 126.922 	 58.334 	2.000000 
Iz 	239.135 	 127.985 	 154.308 	8.000000 
FC1 	116.018 	 152.333 	 51.767 	0.000000 
FC2 	114.944 	 96.448 	 55.660 	2.000000 
CP1 	179.492 	 155.684 	 48.328 	6.000000 
CP2 	176.737 	 96.301 	 50.064 	2.000000 
FC5 	119.521 	 192.631 	 96.803 	1.000000 
FC6 	112.253 	 61.422 	 104.033 	1.000000 
CP5 	180.668 	 197.945 	 95.655 	2.000000 
CP6 	175.143 	 56.694 	 100.630 	2.000000 
TP9 	178.221 	 195.490 	 158.791 	4.000000 
TP10 	175.692 	 60.677 	 158.729 	2.000000 
31 	168.498 	 188.337 	 190.682 	7.000000 
32 	167.427 	 67.173 	 191.082 	4.000000 
F1 	86.563 	 147.526 	 65.412 	1.000000 
F2 	86.398 	 99.287 	 68.507 	6.000000 
C1 	145.719 	 152.317 	 45.789 	1.000000 
C2 	143.603 	 93.466 	 51.247 	1.000000 
P1 	210.557 	 150.831 	 61.628 	3.000000 
P2 	211.651 	 100.802 	 64.706 	3.000000 
AF3 	64.664 	 156.230 	 89.730 	7.000000 
AF4 	64.156 	 95.417 	 92.735 	1.000000 
FC3 	116.929 	 177.296 	 68.612 	3.000000 
FC4 	113.067 	 72.532 	 76.963 	1.000000 
CP3 	178.130 	 182.170 	 66.929 	2.000000 
CP4 	174.360 	 70.825 	 69.427 	1.000000 
PO3 	230.577 	 157.516 	 92.219 	3.000000 
PO4 	227.983 	 95.439 	 92.511 	4.000000 
F5 	90.815 	 183.429 	 98.440 	2.000000 
F6 	84.577 	 71.147 	 108.069 	2.000000 
C5 	150.634 	 198.307 	 93.787 	2.000000 
C6 	142.790 	 56.725 	 103.883 	1.000000 
P5 	210.585 	 186.624 	 97.344 	2.000000 
P6 	204.864 	 65.665 	 100.221 	2.000000 
AF7 	73.206 	 179.068 	 118.129 	2.000000 
AF8 	67.786 	 77.153 	 124.604 	6.000000 
FT7 	123.640 	 197.318 	 124.505 	6.000000 
FT8 	118.229 	 57.793 	 128.903 	2.000000 
TP7 	180.988 	 199.638 	 129.667 	2.000000 
TP8 	173.948 	 56.755 	 132.018 	1.000000 
PO7 	224.660 	 178.414 	 125.789 	1.000000 
PO8 	225.666 	 77.058 	 125.804 	2.000000 
Fpz 	46.206 	 129.343 	 113.874 	0.000000 
CPz 	179.744 	 125.005 	 41.037 	2.000000 
POz 	235.161 	 126.098 	 87.116 	2.000000 
Oz 	243.915 	 126.076 	 120.490 	2.000000 
