onset	duration	value	responce	rt	good	a	bias	p	pv	ronda
2.8019	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
3.8163	1	10	2	1084.4	1	0	0	0.3	0.3	1
4.9139	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
9.1212	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
13.1289	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
14.1433	1	10	2	686.5	1	0	0	0.1	0.1	2
14.8418	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
18.4338	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
22.4415	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
23.4559	1	10	1	1153.7	1	0	0	0.3	0.3	3
24.62	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
27.9791	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
31.9869	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
33.0013	1	10	1	2993.2	1	0	0	0.4	0.4	4
36.0112	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
38.8715	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
42.8793	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
43.8937	1	10	2	2622.4	1	0.5	0.56836	0.3	0.16836	1
46.5211	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
50.928	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
54.9357	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
59.9412	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
60.9556	1	10	1	2138.7	1	0.5	0.5885	0.4	0.3885	2
63.1008	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
65.7616	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
69.7693	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
71.7815	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
72.7959	1	10	2	1710.3	1	0.8	0.7905	0.2	0.162	3
74.5087	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
77.6018	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
81.6096	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
83.6218	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
84.6362	1	10	2	3029.9	1	0.7	0.1922	0.8	0.78181	4
87.6794	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
90.39	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
94.3977	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
96.4099	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
97.4243	1	10	2	1633.6	1	0	0	0.2	0.2	1
99.0706	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
102.4132	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
