onset	duration	value	response	rt	good	a	bias	p	pv	ronda
76.239	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
77.2534	1	10	1	4595	1	0	0	0.9	0.9	1
81.8597	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
84.8695	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
88.8771	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
89.8915	1	10	2	825.6	1	0	0	0.2	0.2	2
90.7229	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
95.0465	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
99.0541	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
100.0685	1	10	1	1792.9	1	0	0	0.2	0.2	3
101.8644	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
104.8077	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
108.8154	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
109.8297	1	10	1	2973.1	1	0	0	0.8	0.8	4
112.8063	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
116.0822	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
120.0898	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
121.1042	1	10	2	1152.1	1	0.7	0.9386	0.1	0.19007	1
122.2683	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
126.6417	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
130.6493	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
135.6713	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
136.6856	1	10	1	1061.6	1	0.6	0.99439	0.1	0.24159	2
137.7499	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
140.7099	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
144.7175	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
146.7296	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
147.744	1	10	2	642.2	1	0.7	0.030878	0.1	0.041667	3
148.3925	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
150.9866	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
154.9942	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
157.0064	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
158.0207	1	10	1	511.7	1	0.8	0.34816	0.9	0.9375	4
158.5362	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
162.4607	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
166.4683	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
168.4804	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
169.4948	1	10	2	981.3	1	0	0	0.6	0.6	1
170.4925	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
174.7662	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
178.7738	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
179.7882	1	10	2	1699	1	0	0	0.1	0.1	2
181.501	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
185.4587	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
192.4761	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
193.4905	1	10	1	1644.4	1	0	0	0.9	0.9	3
195.1368	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
198.4293	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
202.4369	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
203.4513	1	10	2	893.8	1	0	0	0.1	0.1	4
204.3493	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
207.5587	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
211.5829	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
212.5973	1	10	1	1396.5	1	0.7	0.5455	0.6	0.93951	1
214.0108	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
217.9685	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
221.9761	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
223.9882	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
225.0026	1	10	2	1864.7	1	0.6	0.2094	0.9	0.96875	2
226.8816	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
231.3382	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
235.3458	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
237.358	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
238.3723	1	10	1	803.8	1	0.4	0.31082	0.3	0.040548	3
239.1872	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
243.5107	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
247.5183	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
252.5403	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
253.5547	1	10	2	1150.7	1	0.5	0.70514	0.2	0.10514	4
254.7187	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
257.4957	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
261.5033	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
263.5155	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
264.5298	1	10	1	1740.4	1	0	0	0.6	0.6	1
266.2759	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
269.003	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
273.0273	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
274.0416	1	10	2	1995.6	1	0	0	0.7	0.7	2
276.0537	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
279.9616	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
283.9858	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
