onset	duration	value	responce	rt	good	a	bias	p	pv	ronda
11.9518	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
12.9674	1	10	1	2533.5	1	0	0	0.8	0.8	1
15.5147	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
19.2607	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
23.3231	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
24.3387	1	10	1	1981.2	1	0	0	0.1	0.1	2
26.3366	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
29.4166	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
33.4291	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
34.4447	1	10	1	1020.4	1	0	0	0.1	0.1	3
35.4769	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
38.507	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
42.5195	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
43.5351	1	10	2	829.8	1	0	0	0.6	0.6	4
44.3675	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
47.8305	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
51.8429	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
52.8585	1	10	1	1575.6	1	0.7	0.39141	0.5	0.24661	1
54.4402	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
57.6368	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
61.6492	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
66.6606	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
67.6762	1	10	2	1334.4	1	0.4	0.014745	0.8	0.6765	2
69.0248	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
73.0705	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
77.0829	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
79.0975	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
80.113	1	10	1	1436.9	1	0.6	0.94172	0.1	0.16258	3
81.5615	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
85.6405	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
89.653	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
91.6675	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
92.6831	1	10	1	968.6	1	0.8	0.98415	0.1	0.43659	4
93.6654	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
96.5956	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
100.608	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
102.6226	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
103.6382	1	10	2	1171.2	1	0	0	0.8	0.8	1
104.8203	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
108.6162	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
112.6287	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
113.6443	1	10	1	735.6	1	0	0	0.8	0.8	2
114.3935	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
118.5557	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
125.565	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
126.5806	1	10	1	1293.6	1	0	0	0.1	0.1	3
127.8792	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
131.3922	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
135.4046	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
136.4202	1	10	2	1315.1	1	0	0	0.9	0.9	4
137.7521	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
141.981	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
145.9934	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
147.009	1	10	1	1592.4	1	0.4	0.83297	0.5	0.72198	1
148.6073	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
152.8861	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
156.8985	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
158.9131	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
159.9287	1	10	2	2704.9	1	0.5	0.48788	0.9	0.975	2
162.6425	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
166.1388	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
170.1512	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
172.1657	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
173.1813	1	10	1	2178.7	1	0.4	0.92572	0.6	0.95048	3
175.3623	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
178.8253	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
182.8378	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
187.8491	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
188.8647	1	10	1	2032.1	1	0.6	0.88946	0.1	0.084196	4
190.9126	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
193.643	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
197.6555	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
199.67	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
