onset	duration	value	responce	rt	good	a	bias	p	pv	ronda
3.4986	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
4.5142	1	10	2	1219.9	1	0	0	0.3	0.3	1
5.7463	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
9.9585	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
13.9709	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
14.9865	1	10	2	2004.6	1	0	0	0.3	0.3	2
17.001	1	20	4	2767.3	1	n/a	n/a	n/a	n/a	n/a
20.6139	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
24.6263	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
25.6419	1	10	2	5045.5	1	0	0	0.2	0.2	3
30.7032	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
34.5991	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
38.6115	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
39.6271	1	10	1	1786.4	1	0	0	0.9	0.9	4
41.4252	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
44.3388	1	31	3	590	1	n/a	n/a	n/a	n/a	n/a
48.3512	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
49.3668	1	10	1	1831.4	1	0.6	0.51847	0.8	0.96875	1
51.2148	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
53.9786	1	30	3	3951.2	1	n/a	n/a	n/a	n/a	n/a
57.991	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
63.0024	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
64.018	1	10	2	1431.6	1	0.8	0.22148	0.7	0.38593	2
65.4665	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
69.2291	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
73.2416	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
75.2561	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
76.2717	1	10	1	2261.8	1	0.6	0.83245	0.9	0.96875	3
78.536	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
82.5151	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
86.5275	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
88.5421	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
89.5576	1	10	2	1670.3	1	0.6	0.33975	0.3	0.03125	4
91.2392	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
95.3682	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
99.3806	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
101.3951	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
102.4107	1	10	1	2547.9	1	0	0	0.8	0.8	1
104.9747	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
107.5053	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
111.5178	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
112.5334	1	10	2	1793.6	1	0	0	0.1	0.1	2
114.3314	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
118.0609	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
125.0701	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
126.0857	1	10	1	1134.9	1	0	0	0.8	0.8	3
127.2345	1	20	3	2427.9	1	n/a	n/a	n/a	n/a	n/a
130.7807	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
134.7932	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
135.8088	1	10	2	2650.6	1	0	0	0.3	0.3	4
138.4726	1	20	4	1396.5	1	n/a	n/a	n/a	n/a	n/a
141.0199	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
145.0323	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
146.0479	1	10	1	1406.6	1	0.4	0.56419	0.7	0.87613	1
147.4631	1	20	3	819.1	1	n/a	n/a	n/a	n/a	n/a
150.693	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
154.7054	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
156.72	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
157.7356	1	10	2	1401.3	1	0.5	0.77584	0.2	0.17584	2
159.1507	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
162.031	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
166.0434	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
168.058	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
169.0736	1	10	1	3512.1	1	0.7	0.35458	0.6	0.49401	3
172.6032	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
175.2504	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
179.2628	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
184.2742	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
185.2898	1	10	2	998.6	1	0.5	0.049451	0.2	0.025	4
186.3054	1	20	4	784.1	1	n/a	n/a	n/a	n/a	n/a
189.0025	1	31	4	846.2	1	n/a	n/a	n/a	n/a	n/a
193.0149	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
195.0295	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
196.0451	1	10	1	3108.9	1	0	0	0.5	0.5	1
199.1584	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
202.6048	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
206.6172	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
207.6328	1	10	1	1116	1	0	0	0.6	0.6	2
208.7649	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
212.3778	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
216.3902	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
217.4058	1	10	2	1277.1	1	0	0	0.1	0.1	3
218.6878	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
222.3672	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
