name	x	y	z	impedance 
Fp1 	53.764 	 148.676 	 132.900 	0.000000 
Fp2 	56.895 	 98.260 	 132.097 	0.000000 
F3 	75.708 	 163.515 	 87.839 	0.000000 
F4 	83.272 	 81.913 	 90.562 	0.000000 
C3 	132.394 	 183.591 	 66.548 	0.000000 
C4 	135.848 	 70.372 	 67.744 	5.000000 
P3 	186.991 	 180.675 	 69.027 	2.000000 
P4 	196.717 	 85.088 	 66.709 	2.000000 
O1 	222.986 	 161.797 	 107.685 	1.000000 
O2 	227.163 	 107.389 	 106.355 	1.000000 
F7 	84.808 	 190.412 	 130.725 	5.000000 
F8 	90.700 	 61.383 	 124.581 	0.000000 
T7 	137.543 	 206.969 	 126.761 	0.000000 
T8 	142.734 	 48.484 	 125.325 	1.000000 
P7 	188.001 	 201.373 	 117.124 	3.000000 
P8 	199.212 	 61.685 	 111.569 	0.000000 
Fz 	73.510 	 121.430 	 78.962 	0.000000 
Cz 	131.004 	 128.041 	 44.925 	1.000000 
Pz 	190.186 	 128.938 	 52.420 	0.000000 
Iz 	233.340 	 133.310 	 134.890 	3.000000 
FC1 	102.553 	 154.474 	 61.960 	1.000000 
FC2 	108.427 	 98.576 	 60.690 	1.000000 
CP1 	157.478 	 157.071 	 47.943 	0.000000 
CP2 	162.266 	 100.662 	 47.633 	2.000000 
FC5 	101.832 	 194.383 	 100.936 	0.000000 
FC6 	109.797 	 58.543 	 100.281 	2.000000 
CP5 	159.006 	 203.395 	 91.062 	1.000000 
CP6 	168.225 	 56.714 	 86.578 	2.000000 
TP9 	170.920 	 204.290 	 149.999 	1.000000 
TP10 	179.266 	 52.492 	 148.086 	3.000000 
31 	169.427 	 206.844 	 175.422 	2.000000 
32 	184.417 	 53.459 	 176.149 	3.000000 
F1 	78.668 	 142.934 	 75.789 	0.000000 
F2 	85.132 	 99.824 	 75.582 	0.000000 
C1 	126.904 	 151.651 	 49.906 	3.000000 
C2 	135.185 	 97.864 	 50.573 	5.000000 
P1 	183.841 	 157.265 	 52.850 	2.000000 
P2 	188.929 	 102.864 	 53.209 	1.000000 
AF3 	59.168 	 148.145 	 101.067 	0.000000 
AF4 	62.720 	 94.739 	 103.516 	0.000000 
FC3 	100.574 	 176.260 	 77.468 	0.000000 
FC4 	105.900 	 74.607 	 79.392 	4.000000 
CP3 	156.196 	 183.834 	 62.333 	1.000000 
CP4 	163.052 	 73.546 	 61.407 	1.000000 
PO3 	211.730 	 161.852 	 78.629 	1.000000 
PO4 	214.644 	 101.368 	 78.308 	2.000000 
F5 	78.333 	 179.761 	 106.531 	4.000000 
F6 	87.591 	 66.731 	 109.762 	1.000000 
C5 	131.468 	 202.137 	 92.277 	2.000000 
C6 	141.504 	 53.408 	 95.239 	1.000000 
P5 	190.735 	 193.526 	 92.323 	1.000000 
P6 	199.241 	 69.790 	 87.610 	1.000000 
AF7 	66.371 	 173.082 	 131.990 	2.000000 
AF8 	71.844 	 75.799 	 128.760 	4.000000 
FT7 	108.536 	 201.162 	 129.301 	4.000000 
FT8 	116.051 	 51.452 	 124.180 	2.000000 
TP7 	163.622 	 206.864 	 123.728 	1.000000 
TP8 	172.178 	 50.773 	 117.056 	4.000000 
PO7 	207.328 	 185.455 	 113.246 	1.000000 
PO8 	217.532 	 83.210 	 110.754 	2.000000 
Fpz 	51.237 	 121.633 	 131.781 	2.000000 
CPz 	158.510 	 131.725 	 42.774 	1.000000 
POz 	214.946 	 133.636 	 76.543 	2.000000 
Oz 	229.140 	 134.920 	 105.668 	3.000000 
