onset	duration	value	responce	rt	good	TMSips	TMSppc	TMSvertex	a	bias	delta	fixed	p	pv	ronda
65.012	1	10	5317.6	5317.6	1	1	0	0	0	0	0	0	0.7	0.7	1
70.345	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
71.912	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
72.012	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
72.2282	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-1.4552e-11	0	n/a	n/a	n/a
74.2448	1	10	2884.6	2884.6	1	1	0	0	0	0	2.9104e-11	0	0.2	0.2	2
77.1446	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
78.2536	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
78.3536	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
78.5612	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	1.4552e-11	0	n/a	n/a	n/a
80.5778	1	10	1175.5	1175.5	1	1	0	0	0	0	0.1	0	0.2	0.2	3
81.761	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
83.624	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
83.724	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
83.9276	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-2.9104e-11	0	n/a	n/a	n/a
85.944	1	10	1761	1761	1	1	0	0	0	0	-0.1	0	0.2	0.2	4
87.7106	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	2.9104e-11	0	n/a	n/a	n/a
88.8306	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
88.9306	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
