onset	duration	value	responce	rt	good	a	bias	p	pv	ronda
3.3856	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
4.4012	1	10	2	1926.6	1	0	0	0.4	0.4	1
6.3325	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
9.013	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
13.0754	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
14.0909	1	10	2	1920.6	1	0	0	0.4	0.4	2
16.0222	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
19.9181	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
23.9305	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
24.9461	1	10	1	2991.1	1	0	0	0.2	0.2	3
27.943	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
31.7556	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
35.768	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
36.7836	1	10	1	608.1	1	0	0	0.5	0.5	4
37.3996	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
41.4786	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
45.4911	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
46.5067	1	10	1	1013.3	1	0.6	0.13107	0.7	0.44661	1
47.5223	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
51.0352	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
55.0476	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
60.059	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
61.0746	1	10	2	954.8	1	0.8	0.41612	0.8	0.9375	2
62.0402	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
65.7363	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
69.7488	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
71.7633	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
72.7789	1	10	2	1201.1	1	0.4	0.41376	0.4	0.27584	3
73.9943	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
76.8246	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
80.837	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
82.8516	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
83.8672	1	10	1	1067.2	1	0.7	0.41352	0.4	0.041667	4
84.9494	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
88.6288	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
92.6412	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
94.6558	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
95.6714	1	10	1	1183.5	1	0	0	0.5	0.5	1
