name	x	y	z	impedance 
Fp1 	41.749 	 151.902 	 120.671 	0.000000 
Fp2 	44.601 	 93.284 	 121.466 	0.000000 
F3 	85.105 	 170.379 	 79.271 	0.000000 
F4 	82.984 	 76.791 	 84.755 	5.000000 
C3 	145.368 	 188.960 	 64.804 	1.000000 
C4 	144.634 	 65.757 	 65.707 	3.000000 
P3 	214.194 	 184.033 	 77.188 	4.000000 
P4 	217.915 	 76.196 	 77.963 	2.000000 
O1 	249.479 	 159.579 	 124.157 	3.000000 
O2 	249.524 	 98.715 	 122.931 	5.000000 
F7 	85.335 	 197.479 	 127.264 	5.000000 
F8 	92.174 	 54.441 	 126.816 	4.000000 
T7 	145.862 	 209.230 	 130.761 	5.000000 
T8 	149.844 	 46.157 	 126.673 	5.000000 
P7 	205.765 	 202.155 	 125.821 	4.000000 
P8 	209.185 	 57.469 	 129.064 	4.000000 
Fz 	78.265 	 123.798 	 63.517 	2.000000 
Cz 	149.015 	 127.040 	 34.733 	4.000000 
Pz 	218.729 	 131.366 	 55.078 	3.000000 
Iz 	249.695 	 130.090 	 157.968 	4.000000 
FC1 	112.272 	 154.327 	 54.599 	1.000000 
FC2 	113.530 	 99.292 	 54.008 	3.000000 
CP1 	182.981 	 162.025 	 42.556 	1.000000 
CP2 	186.094 	 100.409 	 40.218 	3.000000 
FC5 	110.400 	 199.776 	 96.707 	2.000000 
FC6 	115.443 	 52.192 	 96.487 	1.000000 
CP5 	177.125 	 204.455 	 95.606 	3.000000 
CP6 	183.955 	 50.470 	 94.031 	3.000000 
TP9 	180.073 	 199.747 	 164.661 	15.000000 
TP10 	181.534 	 50.431 	 161.860 	2.000000 
31 	175.746 	 196.761 	 183.433 	2.000000 
32 	178.415 	 51.883 	 183.987 	2.000000 
F1 	81.732 	 150.765 	 67.592 	0.000000 
F2 	83.227 	 98.720 	 68.744 	1.000000 
C1 	146.519 	 158.616 	 42.567 	1.000000 
C2 	148.251 	 97.913 	 42.173 	3.000000 
P1 	214.278 	 159.605 	 61.257 	1.000000 
P2 	217.553 	 102.394 	 61.504 	4.000000 
AF3 	56.437 	 155.746 	 92.775 	3.000000 
AF4 	54.899 	 92.422 	 96.579 	2.000000 
FC3 	111.275 	 179.528 	 72.385 	1.000000 
FC4 	113.413 	 72.246 	 72.243 	2.000000 
CP3 	181.503 	 193.177 	 66.137 	1.000000 
CP4 	184.059 	 67.349 	 62.236 	4.000000 
PO3 	239.541 	 164.066 	 93.004 	3.000000 
PO4 	243.630 	 101.489 	 94.508 	3.000000 
F5 	84.077 	 189.213 	 101.206 	2.000000 
F6 	85.949 	 60.648 	 102.254 	3.000000 
C5 	144.985 	 204.679 	 97.609 	1.000000 
C6 	148.784 	 48.989 	 96.547 	1.000000 
P5 	209.651 	 199.268 	 97.800 	4.000000 
P6 	215.850 	 61.573 	 101.436 	4.000000 
AF7 	59.873 	 180.546 	 120.262 	1.000000 
AF8 	63.796 	 68.569 	 123.587 	7.000000 
FT7 	114.208 	 204.509 	 128.069 	4.000000 
FT8 	124.412 	 48.842 	 126.771 	3.000000 
TP7 	176.003 	 205.586 	 132.653 	3.000000 
TP8 	182.068 	 49.575 	 127.999 	1.000000 
PO7 	231.502 	 184.340 	 126.800 	7.000000 
PO8 	236.958 	 78.096 	 126.781 	3.000000 
Fpz 	38.479 	 122.001 	 116.380 	2.000000 
CPz 	186.347 	 126.906 	 36.237 	2.000000 
POz 	245.520 	 132.124 	 86.573 	5.000000 
Oz 	254.776 	 130.130 	 122.148 	4.000000 
