onset	duration	value	responce	rt	good	a	bias	p	pv	ronda
3.7523	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
4.7679	1	10	1	1033.8	1	0	0	0.4	0.4	1
5.8168	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
8.6638	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
12.6762	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
13.6918	1	10	2	1057.7	1	0	0	0.8	0.8	2
14.7574	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
18.0206	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
22.033	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
23.0486	1	10	2	1411.8	1	0	0	0.6	0.6	3
24.4638	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
28.2764	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
32.2888	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
33.3044	1	10	1	1102.9	1	0	0	0.5	0.5	4
34.4199	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
38.166	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
42.1784	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
43.194	1	10	2	1682.2	1	0.4	0.37964	0.3	0.086425	1
44.8922	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
47.7558	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
51.7682	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
56.7796	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
57.7952	1	10	1	1772.6	1	0.8	0.63531	0.1	0.0625	2
59.5767	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
62.9065	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
66.9189	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
68.9334	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
69.949	1	10	1	940.8	1	0.8	0.68985	0.3	0.25939	3
70.898	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
74.5442	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
78.5566	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
80.5711	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
81.5867	1	10	1	872.9	1	0.7	0.88547	0.1	0.066106	4
82.4691	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
85.9821	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
89.9945	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
92.009	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
93.0246	1	10	1	1150.4	1	0	0	0.3	0.3	1
94.1901	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
98.4522	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
102.4647	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
103.4802	1	10	2	952.3	1	0	0	0.8	0.8	2
104.4459	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
108.4583	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
115.4676	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
116.4832	1	10	2	584.6	1	0	0	0.6	0.6	3
117.0825	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
121.4945	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
125.5069	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
126.5225	1	10	2	2076.2	1	0	0	0.2	0.2	4
128.6037	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
132.8325	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
136.845	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
137.8605	1	10	1	1388.2	1	0.6	0.61434	0.3	0.17151	1
139.2591	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
143.388	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
147.4005	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
149.415	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
150.4306	1	10	1	1575.5	1	0.4	0.3095	0.6	0.53967	2
152.0123	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
156.0247	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
160.0371	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
162.0516	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
163.0672	1	10	2	1281.9	1	0.7	0.10256	0.8	0.57265	3
164.3659	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
168.7113	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
172.7237	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
177.7351	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
178.7507	1	10	1	1949.4	1	0.4	0.8268	0.3	0.38453	4
180.7153	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
185.1938	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
189.2063	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
191.2208	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
192.2364	1	10	2	1048.9	1	0	0	0.4	0.4	1
193.3019	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
196.3154	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
200.3279	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
201.3434	1	10	1	1694.8	1	0	0	0.1	0.1	2
