onset	duration	value	response	rt	good	TMSips	TMSppc	TMSvertex	a	bias	delta	fixed	p	pv	ronda
94.0662	1	10	1959.1	1959.1	1	1	0	0	0	0	0	0	0.5	0.5	1
96.0328	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
97.6948	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
97.7948	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
97.9994	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
100.0158	1	10	1481.4	1481.4	1	1	0	0	0	0	-0.2	0	0.2	0.2	2
101.5158	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
103.4358	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
103.5358	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
103.749	1	30	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
105.7656	1	10	1507.6	1507.6	1	1	0	0	0	0	0.1	0	0.9	0.9	3
107.2822	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-1.4552e-11	0	n/a	n/a	n/a
108.6152	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
108.7152	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
108.932	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
110.9486	1	10	2436.4	2436.4	1	1	0	0	0	0	0	0	0.5	0.5	4
113.3984	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-1.4552e-11	0	n/a	n/a	n/a
114.8634	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
114.9634	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
115.1816	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	17.7	0	n/a	n/a	n/a
117.1816	1	10	2491.3	2491.3	1	1	0	0	0	0	-17.6	0	0.1	0.1	5
119.6814	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
120.7854	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
120.8854	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
121.098	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
123.1146	1	10	2158.2	2158.2	1	1	0	0	0	0	1.4552e-11	0	0.6	0.6	6
125.281	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
126.737	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
126.837	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
127.0476	1	30	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
129.0642	1	10	2304.4	2304.4	1	1	0	0	0	0	0.1	0	0.3	0.3	7
131.3806	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
132.7446	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
132.8446	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
133.0472	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
135.0638	1	10	1568.6	1568.6	1	1	0	0	0	0	-2.9104e-11	0	0.3	0.3	8
136.647	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	2.9104e-11	0	n/a	n/a	n/a
138.046	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
138.146	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
138.3636	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
140.3802	1	10	1628.2	1628.2	1	1	0	0	0	0	0.1	0	0.6	0.6	9
142.0134	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-2.9104e-11	0	n/a	n/a	n/a
143.7974	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
143.8974	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
144.1132	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
146.1298	1	10	2262.4	2262.4	1	1	0	0	0	0	0.1	0	0.9	0.9	10
148.3964	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
149.6084	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
149.7084	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
149.9128	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.2	0	n/a	n/a	n/a
160.9456	1	10	2246.3	2246.3	1	1	0	0	0.4	0.14208	0.2	0	0.9	0.92805	11
163.1954	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
164.7654	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
164.8654	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
165.0786	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
167.0952	1	40	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
169.1118	1	10	3151.8	3151.8	1	1	0	0	0.8	0.17449	-2.9104e-11	0	0.8	0.69797	12
172.2782	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
173.5632	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
173.6632	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
173.8782	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
