name	x	y	z	impedance 
Fp1 	48.248 	 148.728 	 128.919 	0.000000 
Fp2 	54.489 	 95.711 	 126.499 	0.000000 
F3 	76.552 	 170.877 	 88.481 	4.000000 
F4 	86.302 	 81.744 	 83.397 	0.000000 
C3 	135.860 	 189.753 	 70.614 	4.000000 
C4 	141.797 	 67.064 	 69.132 	1.000000 
P3 	197.232 	 181.094 	 78.576 	3.000000 
P4 	208.382 	 85.506 	 75.041 	3.000000 
O1 	228.074 	 163.488 	 123.690 	3.000000 
O2 	234.631 	 106.143 	 119.333 	5.000000 
F7 	85.277 	 192.820 	 133.930 	1.000000 
F8 	100.268 	 57.767 	 125.528 	3.000000 
T7 	138.504 	 207.693 	 133.343 	2.000000 
T8 	151.856 	 47.479 	 125.212 	1.000000 
P7 	193.642 	 197.671 	 128.017 	4.000000 
P8 	208.567 	 64.257 	 119.763 	1.000000 
Fz 	76.998 	 121.617 	 67.794 	1.000000 
Cz 	140.183 	 124.497 	 39.399 	3.000000 
Pz 	206.961 	 132.117 	 58.703 	1.000000 
Iz 	234.675 	 131.623 	 151.345 	3.000000 
FC1 	107.224 	 153.476 	 55.298 	3.000000 
FC2 	111.772 	 92.891 	 58.577 	2.000000 
CP1 	173.048 	 157.271 	 46.423 	1.000000 
CP2 	176.156 	 98.512 	 47.324 	1.000000 
FC5 	108.098 	 197.228 	 97.487 	1.000000 
FC6 	116.830 	 55.169 	 99.056 	1.000000 
CP5 	174.196 	 200.559 	 95.646 	3.000000 
CP6 	181.019 	 56.430 	 93.449 	1.000000 
TP9 	174.878 	 200.520 	 161.530 	2.000000 
TP10 	187.314 	 54.240 	 153.674 	1.000000 
31 	172.694 	 191.481 	 193.477 	6.000000 
32 	174.262 	 62.948 	 187.036 	7.000000 
F1 	78.740 	 145.765 	 69.053 	0.000000 
F2 	83.035 	 96.860 	 73.247 	3.000000 
C1 	136.954 	 151.642 	 44.224 	6.000000 
C2 	143.980 	 94.217 	 49.155 	2.000000 
P1 	197.818 	 156.831 	 58.684 	2.000000 
P2 	205.246 	 104.229 	 59.363 	2.000000 
AF3 	56.994 	 150.175 	 97.396 	0.000000 
AF4 	68.552 	 88.032 	 96.890 	3.000000 
FC3 	107.564 	 178.119 	 70.438 	2.000000 
FC4 	111.961 	 71.670 	 74.670 	1.000000 
CP3 	173.247 	 185.213 	 65.056 	4.000000 
CP4 	176.419 	 70.369 	 66.393 	2.000000 
PO3 	220.088 	 163.422 	 93.298 	3.000000 
PO4 	223.945 	 101.899 	 89.697 	2.000000 
F5 	80.516 	 183.347 	 104.277 	1.000000 
F6 	91.799 	 64.352 	 107.128 	5.000000 
C5 	138.279 	 204.659 	 97.543 	1.000000 
C6 	148.499 	 50.067 	 96.881 	1.000000 
P5 	200.399 	 190.672 	 103.213 	5.000000 
P6 	209.189 	 69.870 	 95.713 	2.000000 
AF7 	66.454 	 178.517 	 130.708 	1.000000 
AF8 	75.167 	 71.708 	 126.718 	6.000000 
FT7 	115.549 	 204.365 	 127.997 	3.000000 
FT8 	128.099 	 49.614 	 122.742 	2.000000 
TP7 	177.628 	 203.832 	 128.018 	2.000000 
TP8 	182.037 	 51.507 	 122.164 	1.000000 
PO7 	220.739 	 174.378 	 122.789 	3.000000 
PO8 	221.903 	 76.877 	 118.371 	3.000000 
Fpz 	46.074 	 122.532 	 123.387 	1.000000 
CPz 	179.808 	 124.953 	 40.307 	3.000000 
POz 	225.578 	 126.191 	 86.855 	3.000000 
Oz 	236.308 	 126.146 	 119.082 	4.000000 
