onset	duration	value	responce	rt	good	TMSips	TMSppc	TMSvertex	a	bias	delta	fixed	p	pv	ronda
133.0526	1	10	2217.8	2217.8	1	0	1	0	0	0	0	0	0.6	0.6	1
135.2858	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-2.9104e-11	0	n/a	n/a	n/a
136.502	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.2	0	n/a	n/a	n/a
136.602	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
136.8192	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
138.8356	1	10	1570.7	1570.7	1	0	1	0	0	0	-0.2	0	0.8	0.8	2
140.419	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.2	0	n/a	n/a	n/a
141.419	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
141.519	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
141.7356	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	2.9104e-11	0	n/a	n/a	n/a
143.752	1	10	2014.3	2014.3	1	0	1	0	0	0	-0.1	0	0.9	0.9	3
145.7686	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-2.9104e-11	0	n/a	n/a	n/a
146.8696	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
146.9696	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
147.1852	1	30	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
149.2018	1	10	1412.4	1412.4	1	0	1	0	0	0	0	0	0.6	0.6	4
150.6184	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-2.9104e-11	0	n/a	n/a	n/a
152.0694	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
152.1694	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
152.3848	1	30	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
154.4014	1	10	1108.6	1108.6	1	0	1	0	0	0	2.9104e-11	0	0.7	0.7	5
155.518	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	2.9104e-11	0	n/a	n/a	n/a
157.407	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
