onset	duration	value	responce	rt	good	TMSips	TMSppc	TMSvertex	a	bias	delta	fixed	p	pv	ronda
41.5568	1	10	3881.6	3881.6	1	1	0	0	0	0	0	0	0.1	0.1	1
45.4566	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-7.276e-12	0	n/a	n/a	n/a
46.8106	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
46.9106	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
47.1232	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-7.276e-12	0	n/a	n/a	n/a
49.1396	1	10	1258.6	1258.6	1	1	0	0	0	0	-0.1	0	0.2	0.2	2
50.4062	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	7.276e-12	0	n/a	n/a	n/a
52.3832	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
52.4832	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
52.6894	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	7.276e-12	0	n/a	n/a	n/a
54.706	1	10	2268.1	2268.1	1	1	0	0	0	0	-7.276e-12	0	0.2	0.2	3
56.9892	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
58.9722	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
59.0722	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
59.289	1	30	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
61.3056	1	10	1316.4	1316.4	1	1	0	0	0	0	0.1	0	0.5	0.5	4
62.6388	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
64.328	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.2	0	n/a	n/a	n/a
64.428	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
64.6388	1	30	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
66.6554	1	10	862.6	862.6	1	1	0	0	0	0	0.1	0	0.9	0.9	5
67.522	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	1.4552e-11	0	n/a	n/a	n/a
69.38	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
69.48	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
69.6884	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
71.705	1	10	1860.8	1860.8	1	1	0	0	0	0	0.1	0	0.8	0.8	6
