onset	duration	value	responce	rt	good	a	bias	p	pv	ronda
3.7118	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
4.7262	1	10	1	1550.3	1	0	0	0.8	0.8	1
6.2894	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
9.8315	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
13.8393	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
14.8537	1	10	2	1609.4	1	0	0	0.3	0.3	2
16.4667	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
20.0088	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
24.0166	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
25.031	1	10	2	1746.4	1	0	0	0.2	0.2	3
26.7937	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
30.2527	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
34.2604	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
35.2748	1	10	1	1543.9	1	0	0	0.9	0.9	4
36.8213	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
40.9455	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
44.9532	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
45.9676	1	10	2	2168.8	1	0.4	0.75398	0.2	0.16932	1
48.1461	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
51.1394	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
55.1472	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
60.1527	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
61.1671	1	10	1	2472.2	1	0.6	0.66158	0.8	0.96875	2
63.6449	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
66.3721	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
70.3799	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
72.392	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
73.4065	1	10	2	3101.4	1	0.4	0.97381	0.4	0.6492	3
76.5162	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
79.6592	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
83.6669	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
85.6791	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
86.6935	1	10	1	2332.6	1	0.6	0.57753	0.4	0.36629	4
89.0383	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
93.5116	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
97.5194	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
99.5315	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
100.5459	1	10	1	2099.9	1	0	0	0.4	0.4	1
102.6579	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
106.7155	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
110.7233	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
111.7377	1	10	2	1288.6	1	0	0	0.2	0.2	2
113.0348	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
115.5791	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
122.5968	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
123.6112	1	10	2	1100.2	1	0	0	0.1	0.1	3
124.7254	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
127.7021	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
131.7098	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
132.7242	1	10	2	2311.8	1	0	0	0.6	0.6	4
135.0523	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
138.8772	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
142.8849	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
143.8993	1	10	2	2466.4	1	0.7	0.68085	0.4	0.58864	1
146.3771	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
149.57	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
153.5777	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
155.5899	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
156.6043	1	10	2	2100.5	1	0.6	0.61516	0.6	0.92274	2
158.7163	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
161.8592	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
165.867	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
167.8792	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
168.8936	1	10	1	1215.9	1	0.4	0.01488	0.9	0.84325	3
170.1242	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
173.4501	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
177.4578	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
182.48	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
183.4944	1	10	2	2439.5	1	0.4	0.38265	0.6	0.58843	4
185.9389	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
189.3147	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
193.3224	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
195.3346	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
196.349	1	10	2	1572.4	1	0	0	0.1	0.1	1
