onset	duration	value	responce	rt	good	TMSips	TMSppc	TMSvertex	a	bias	delta	fixed	p	pv	ronda
22.7254	1	10	1069.7	1069.7	1	0	0	1	0	0	0	0	0.1	0.1	1
23.8086	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
25.1698	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.2	0	n/a	n/a	n/a
25.2698	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
25.4752	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
27.4918	1	10	2175.1	2175.1	1	0	0	1	0	0	-7.276e-12	0	0.7	0.7	2
29.675	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	1.819e-11	0	n/a	n/a	n/a
31.31	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
31.41	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
31.6248	1	30	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
33.6414	1	10	2153.4	2153.4	1	0	0	1	0	0	0.1	0	0.2	0.2	3
35.808	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
37.259	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
37.359	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
37.5746	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
39.591	1	10	1211.7	1211.7	1	0	0	1	0	0	-0.1	0	0.7	0.7	4
40.8076	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-7.276e-12	0	n/a	n/a	n/a
42.1656	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
42.2656	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
42.4742	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
