onset	duration	value	response	rt	good	a	bias	p	pv	ronda
2.5537	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
3.5693	1	10	1	1719.7	1	0	0	0.3	0.3	1
5.3008	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
7.9647	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
11.9771	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
12.9927	1	10	1	870	1	0	0	0.4	0.4	2
13.8751	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
16.7887	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
20.8011	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
21.8167	1	10	2	1888.8	1	0	0	0.6	0.6	3
23.7147	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
27.2942	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
31.3067	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
32.3222	1	10	2	766.7	1	0	0	0.1	0.1	4
33.1048	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
36.0017	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
40.0141	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
41.0297	1	10	1	2298.7	1	0.6	0.84207	0.2	0.2631	1
43.3439	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
47.6394	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
51.6518	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
56.6632	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
57.6788	1	10	2	2067.6	1	0.6	0.69825	0.4	0.54737	2
59.7599	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
62.8733	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
66.8857	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
68.9002	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
69.9158	1	10	2	3133.9	1	0.8	0.92168	0.3	0.9375	3
73.0625	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
76.1592	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
80.1717	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
82.1862	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
83.2018	1	10	1	2863.5	1	0.5	0.9327	0.2	0.3327	4
86.0821	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
89.5617	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
93.5741	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
95.5887	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
96.6043	1	10	1	2310.6	1	0	0	0.6	0.6	1
98.9185	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
102.5813	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
106.5937	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
107.6093	1	10	2	1746.4	1	0	0	0.1	0.1	2
109.3575	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
112.7206	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
119.7298	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
120.7454	1	10	1	1223.5	1	0	0	0.4	0.4	3
121.9774	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
125.3239	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
129.3363	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
130.3519	1	10	1	1727.3	1	0	0	0.8	0.8	4
132.0834	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
134.7639	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
138.7764	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
139.792	1	10	2	3480.8	1	0.4	0.0031164	0.5	0.16874	1
143.2883	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
146.8678	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
150.8802	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
152.8948	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
153.9104	1	10	2	1420.1	1	0.4	0.15456	0.7	0.60304	2
155.3422	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
158.5388	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
162.5512	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
164.5658	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
165.5814	1	10	2	1155.9	1	0.5	0.47092	0.7	0.87092	3
166.7468	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
169.4606	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
173.473	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
178.4844	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
179.5	1	10	2	1178.3	1	0.5	0.53115	0.6	0.73115	4
180.6821	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
185.1773	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
189.1897	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
191.2043	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
192.2199	1	10	2	2600.5	1	0	0	0.8	0.8	1
194.8338	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
199.1292	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
203.1416	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
204.1572	1	10	1	2133.1	1	0	0	0.1	0.1	2
206.305	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
209.5349	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
213.5473	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
214.5629	1	10	1	1234.9	1	0	0	0.8	0.8	3
215.8116	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
220.2735	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
224.2859	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
225.3016	1	10	1	1200.3	1	0	0	0.5	0.5	4
226.5169	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
230.7125	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
237.7384	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
238.754	1	10	2	1987.4	1	0.8	0.32943	0.9	0.9375	1
240.7519	1	20	4	961.5	1	n/a	n/a	n/a	n/a	n/a
244.8809	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
248.8933	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
250.9078	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
251.9234	1	10	2	1432.1	1	0.8	0.1697	0.9	0.9375	2
253.3719	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
256.8682	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
260.8806	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
262.8951	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
263.9107	1	10	2	3133.5	1	0.5	0.92326	0.1	0.12326	3
267.0574	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
270.5704	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
274.5828	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
276.5973	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
277.6129	1	10	2	3366.3	1	0.6	0.58335	0.1	0.03125	4
280.9927	1	20	4	1020.8	1	n/a	n/a	n/a	n/a	n/a
284.5389	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
288.5513	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
290.5659	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
291.5815	1	10	2	1226.9	1	0	0	0.6	0.6	1
292.8135	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
297.1922	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
304.2181	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
305.2337	1	10	1	1722.8	1	0	0	0.1	0.1	2
306.9652	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
309.5791	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
313.5915	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
314.6071	1	10	2	1072.1	1	0	0	0.2	0.2	3
315.6893	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
318.3865	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
322.3989	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
323.4145	1	10	2	1409.9	1	0	0	0.1	0.1	4
324.8297	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
328.8587	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
332.8712	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
333.8868	1	10	2	806.5	1	0.8	0.57667	0.8	0.9375	1
334.7025	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
339.1478	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
343.1603	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
345.1748	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
346.1904	1	10	2	2020.8	1	0.6	0.14094	0.9	0.9614	2
348.2216	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
351.6846	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
355.697	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
360.7084	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
361.724	1	10	1	1447.9	1	0.6	0.26484	0.7	0.64726	3
363.1891	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
367.2848	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
371.2972	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
373.3117	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
374.3273	1	10	1	760	1	0.7	0.88237	0.1	0.058867	4
375.0932	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
378.6894	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
382.7018	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
384.7163	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
385.7319	1	10	2	1212	1	0	0	0.1	0.1	1
386.9473	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
390.377	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
394.3894	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
395.405	1	10	2	467.5	1	0	0	0.8	0.8	2
395.8879	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
399.4508	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
403.4632	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
404.4788	1	10	1	1768.4	1	0	0	0.7	0.7	3
406.2602	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
409.2903	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
416.3163	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
417.3319	1	10	1	1550.8	1	0	0	0.9	0.9	4
418.8969	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
421.6773	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
425.7063	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
426.7219	1	10	2	1194.7	1	0.4	0.051275	0.7	0.53418	1
427.9206	1	20	4	667.9	1	n/a	n/a	n/a	n/a	n/a
431.367	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
435.3794	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
437.394	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
438.4096	1	10	2	1021.1	1	0.7	0.38587	0.6	0.56703	2
439.4418	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
443.0879	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
447.1004	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
449.1149	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
450.1305	1	10	1	3043.8	1	0.6	0.30681	0.8	0.96021	3
453.1773	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
456.5903	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
460.6028	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
462.6173	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
463.6329	1	10	1	649.8	1	0.5	0.89224	0.1	0.092243	4
464.2989	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
467.3789	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
471.3914	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
