onset	duration	value	responce	rt	good	a	bias	p	pv	ronda
3.2476	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
4.2632	1	10	2	1928.3	1	0	0	0.1	0.1	1
6.1945	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
9.0747	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
13.0872	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
14.1028	1	10	1	1870.4	1	0	0	0.8	0.8	2
15.9841	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
18.7811	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
22.7936	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
23.8092	1	10	1	4237.7	1	0	0	0.1	0.1	3
28.0547	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
31.6176	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
35.63	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
36.6456	1	10	1	3912.9	1	0	0	0.2	0.2	4
40.5748	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
43.2053	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
47.2177	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
48.2329	1	10	2	2930.2	1	0.6	0.52558	0.4	0.28837	1
51.1802	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
54.6432	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
58.6556	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
63.667	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
64.6826	1	10	2	3899.9	1	0.5	0.53267	0.7	0.93267	2
68.5951	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
71.3422	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
75.3547	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
77.3692	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
78.3848	1	10	1	5919.3	1	0.8	0.61657	0.4	0.46627	3
84.3119	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
86.8925	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
90.9049	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
92.9194	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
93.935	1	10	2	2260.6	1	0.5	0.53293	0.4	0.33293	4
96.1993	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
100.1285	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
104.1409	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
106.1554	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
107.171	1	10	2	8500.3	1	0	0	0.8	0.8	1
115.6787	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
120.0407	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
124.0532	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
125.0688	1	10	2	9618.7	1	0	0	0.9	0.9	2
134.6919	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
138.5878	1	30	4	4939.4	1	n/a	n/a	n/a	n/a	n/a
143.5492	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
144.5648	1	10	1	2789.1	1	0	0	0.4	0.4	3
147.3619	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
151.0246	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
155.0371	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
156.0527	1	10	1	1395.4	1	0	0	0.9	0.9	4
157.4512	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
161.3804	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
165.3928	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
166.4084	1	10	1	1510.3	1	0.4	0.056519	0.8	0.70435	1
167.9235	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
171.5863	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
175.5987	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
177.6132	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
178.6288	1	10	1	1302.5	1	0.7	0.42072	0.6	0.64835	2
179.9441	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
182.8077	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
186.8201	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
188.8347	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
189.8503	1	10	2	4908.6	1	0.7	0.9113	0.2	0.45971	3
194.7617	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
198.4412	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
202.4536	1	40	4	3425.4	1	n/a	n/a	n/a	n/a	n/a
205.9	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
206.9156	1	10	2	7186.2	1	0.7	0.98371	0.8	0.95833	4
214.108	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
218.2036	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
222.2161	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
224.2306	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
225.2462	1	10	2	5464.8	1	0	0	0.4	0.4	1
230.7237	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
234.27	1	30	4	3971.1	1	n/a	n/a	n/a	n/a	n/a
238.2824	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
239.298	1	10	1	2572.7	1	0	0	0.7	0.7	2
241.8786	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
245.9077	1	30	4	3637.1	1	n/a	n/a	n/a	n/a	n/a
249.9201	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
250.9357	1	10	1	2467.9	1	0	0	0.4	0.4	3
253.4164	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
257.9283	1	30	4	3962.7	1	n/a	n/a	n/a	n/a	n/a
261.9407	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
262.9563	1	10	1	3988.9	1	0	0	0.6	0.6	4
266.9521	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
269.6326	1	31	4	3023.4	1	n/a	n/a	n/a	n/a	n/a
276.1757	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
277.1913	1	10	1	1712.4	1	0.5	0.51717	0.6	0.71717	1
278.9061	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
281.8031	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
285.8155	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
287.83	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
288.8456	1	10	1	3201.1	1	0.5	0.73978	0.6	0.93978	2
292.0589	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
296.1379	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
300.1503	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
302.1649	1	9	4	136.1	1	n/a	n/a	n/a	n/a	n/a
303.1805	1	10	2	1574.6	1	0.6	0.11321	0.1	0.03125	3
304.7621	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
307.6091	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
311.6215	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
313.6361	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
314.6517	1	10	2	2143.9	1	0.7	0.62289	0.8	0.95833	4
316.7994	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
319.7463	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
323.7587	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
325.7732	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
326.7888	1	10	2	1226.4	1	0	0	0.4	0.4	1
328.0209	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
330.5848	1	31	4	3652	1	n/a	n/a	n/a	n/a	n/a
336.1456	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
337.1612	1	10	1	2814.5	1	0	0	0.7	0.7	2
339.9915	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
344.3702	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
348.3827	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
349.3983	1	10	1	3766.6	1	0	0	0.4	0.4	3
353.1776	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
357.0735	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
361.0859	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
362.1015	1	10	2	947.3	1	0	0	0.2	0.2	4
363.0505	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
366.1472	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
370.1596	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
371.1752	1	10	2	4926.4	1	0.8	0.94385	0.1	0.2754	1
376.1033	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
378.917	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
382.9295	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
384.944	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
385.9589	1	10	1	1659.8	1	0.4	0.0087779	0.9	0.83919	2
387.6245	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
391.7868	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
395.7992	1	40	3	3178.2	1	n/a	n/a	n/a	n/a	n/a
398.9958	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
400.0114	1	10	1	7980.9	1	0.8	0.18873	0.8	0.75491	3
408.003	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
410.8999	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
414.9123	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
416.9269	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
417.9425	1	10	2	1867.1	1	0.4	0.033172	0.6	0.35545	4
419.8238	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
422.6375	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
426.6499	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
428.6644	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
429.6801	1	10	1	5461.2	1	0	0	0.2	0.2	1
435.1576	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
438.837	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
442.8661	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
443.8817	1	10	2	8395.4	1	0	0	0.8	0.8	2
452.2895	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
455.8524	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
459.8815	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
460.897	1	10	2	1414.4	1	0	0	0.1	0.1	3
462.3289	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
465.8918	1	31	4	5515.7	1	n/a	n/a	n/a	n/a	n/a
471.4359	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
472.4515	1	10	1	8564.6	1	0	0	0.5	0.5	4
481.0258	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
483.5398	1	31	4	3011.9	1	n/a	n/a	n/a	n/a	n/a
487.5688	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
488.5844	1	10	2	2027.4	1	0.5	0.76476	0.5	0.76476	1
490.6156	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
493.9954	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
498.0078	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
500.0223	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
501.0379	1	10	1	6784.7	1	0.5	0.23297	0.6	0.43297	2
507.8307	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
511.5934	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
515.6059	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
517.6204	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
518.636	1	10	2	1332.4	1	0.4	0.79704	0.1	0.031362	3
519.9846	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
523.2311	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
527.2436	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
529.2581	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
530.2737	1	10	1	3050.7	1	0.4	0.53465	0.2	0.023098	4
533.3371	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
537.849	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
541.8614	1	40	4	2868.3	1	n/a	n/a	n/a	n/a	n/a
