name	x	y	z	impedance 
Fp1 	45.002 	 154.134 	 120.862 	0.000000 
Fp2 	47.695 	 96.382 	 122.662 	0.000000 
F3 	81.968 	 174.434 	 82.780 	0.000000 
F4 	83.391 	 78.916 	 82.711 	1.000000 
C3 	144.967 	 190.829 	 65.036 	5.000000 
C4 	146.102 	 63.603 	 65.310 	2.000000 
P3 	215.063 	 176.128 	 81.307 	4.000000 
P4 	214.876 	 75.916 	 77.891 	4.000000 
O1 	244.384 	 156.102 	 127.944 	6.000000 
O2 	243.725 	 97.995 	 126.788 	6.000000 
F7 	89.398 	 192.386 	 129.216 	3.000000 
F8 	91.258 	 61.200 	 132.747 	2.000000 
T7 	144.679 	 207.450 	 133.734 	5.000000 
T8 	147.398 	 48.701 	 135.316 	2.000000 
P7 	205.831 	 197.689 	 130.113 	4.000000 
P8 	202.397 	 57.486 	 132.167 	2.000000 
Fz 	75.732 	 124.597 	 62.334 	0.000000 
Cz 	145.803 	 127.066 	 34.298 	3.000000 
Pz 	218.396 	 130.023 	 61.812 	4.000000 
Iz 	244.669 	 128.020 	 164.382 	7.000000 
FC1 	109.737 	 157.001 	 49.867 	3.000000 
FC2 	110.281 	 95.013 	 52.309 	1.000000 
CP1 	181.741 	 161.014 	 44.968 	4.000000 
CP2 	179.782 	 92.196 	 45.235 	3.000000 
FC5 	113.321 	 199.601 	 101.011 	5.000000 
FC6 	114.440 	 53.374 	 102.840 	2.000000 
CP5 	178.117 	 204.189 	 98.974 	5.000000 
CP6 	178.199 	 51.785 	 98.899 	3.000000 
TP9 	181.769 	 199.687 	 166.671 	2.000000 
TP10 	176.338 	 57.021 	 168.711 	3.000000 
31 	179.089 	 196.633 	 189.830 	7.000000 
32 	173.592 	 60.010 	 188.154 	4.000000 
F1 	79.985 	 153.251 	 65.452 	0.000000 
F2 	80.168 	 98.219 	 66.695 	1.000000 
C1 	143.607 	 158.473 	 41.303 	3.000000 
C2 	143.492 	 93.165 	 43.954 	1.000000 
P1 	211.902 	 159.012 	 65.757 	4.000000 
P2 	213.911 	 98.437 	 60.837 	3.000000 
AF3 	56.615 	 157.018 	 93.329 	0.000000 
AF4 	55.974 	 94.376 	 96.436 	1.000000 
FC3 	111.631 	 184.244 	 71.246 	5.000000 
FC4 	110.173 	 70.491 	 73.353 	2.000000 
CP3 	179.246 	 190.773 	 65.987 	2.000000 
CP4 	183.111 	 63.870 	 66.807 	2.000000 
PO3 	235.678 	 160.397 	 100.067 	6.000000 
PO4 	235.423 	 93.582 	 98.773 	5.000000 
F5 	86.228 	 186.400 	 106.167 	2.000000 
F6 	87.037 	 65.794 	 109.397 	3.000000 
C5 	145.950 	 205.706 	 98.545 	5.000000 
C6 	145.286 	 48.342 	 99.456 	3.000000 
P5 	210.174 	 191.960 	 103.981 	4.000000 
P6 	211.610 	 62.831 	 103.528 	2.000000 
AF7 	65.834 	 177.447 	 121.715 	2.000000 
AF8 	66.247 	 76.023 	 124.826 	2.000000 
FT7 	117.017 	 203.602 	 130.563 	5.000000 
FT8 	118.834 	 51.264 	 131.839 	4.000000 
TP7 	177.092 	 204.405 	 132.681 	5.000000 
TP8 	173.825 	 50.764 	 132.921 	1.000000 
PO7 	226.097 	 181.341 	 133.646 	5.000000 
PO8 	226.467 	 72.339 	 128.002 	3.000000 
Fpz 	38.357 	 124.992 	 118.098 	2.000000 
CPz 	184.999 	 129.074 	 38.412 	3.000000 
POz 	239.095 	 126.043 	 92.274 	4.000000 
Oz 	249.740 	 125.964 	 126.802 	6.000000 
