name	x	y	z	impedance 
Fp1 	51.533 	 149.197 	 121.529 	0.000000 
Fp2 	55.312 	 96.192 	 129.760 	2.000000 
F3 	75.420 	 159.480 	 84.448 	0.000000 
F4 	75.007 	 85.993 	 94.275 	3.000000 
C3 	144.559 	 180.051 	 64.007 	4.000000 
C4 	150.181 	 58.167 	 81.608 	4.000000 
P3 	203.147 	 174.929 	 78.592 	2.000000 
P4 	209.965 	 77.189 	 92.543 	2.000000 
O1 	231.128 	 160.556 	 125.779 	2.000000 
O2 	233.685 	 104.433 	 137.772 	4.000000 
F7 	86.108 	 186.076 	 115.626 	6.000000 
F8 	105.359 	 58.141 	 145.911 	8.000000 
T7 	139.061 	 203.872 	 118.943 	5.000000 
T8 	153.370 	 50.348 	 147.652 	5.000000 
P7 	196.700 	 195.211 	 121.214 	5.000000 
P8 	205.141 	 66.536 	 141.916 	6.000000 
Fz 	85.541 	 103.058 	 71.277 	7.000000 
Cz 	150.125 	 103.907 	 46.388 	5.000000 
Pz 	210.040 	 112.424 	 68.957 	3.000000 
Iz 	230.621 	 131.655 	 164.290 	6.000000 
FC1 	119.036 	 141.906 	 51.258 	6.000000 
FC2 	121.527 	 84.947 	 63.895 	3.000000 
CP1 	182.654 	 134.806 	 47.792 	5.000000 
CP2 	187.791 	 81.040 	 67.157 	5.000000 
FC5 	110.946 	 179.700 	 76.996 	3.000000 
FC6 	132.064 	 52.367 	 116.481 	7.000000 
CP5 	178.164 	 191.751 	 78.665 	3.000000 
CP6 	192.259 	 58.554 	 114.961 	5.000000 
TP9 	176.518 	 203.386 	 148.871 	3.000000 
TP10 	191.576 	 66.972 	 172.469 	3.000000 
31 	185.862 	 189.680 	 176.497 	3.000000 
32 	186.996 	 67.242 	 180.438 	3.000000 
F1 	85.313 	 136.350 	 65.376 	5.000000 
F2 	93.309 	 83.807 	 79.362 	5.000000 
C1 	152.003 	 135.297 	 42.657 	6.000000 
C2 	159.411 	 75.733 	 62.682 	5.000000 
P1 	206.595 	 139.561 	 64.179 	7.000000 
P2 	210.604 	 93.103 	 77.648 	3.000000 
AF3 	65.551 	 129.419 	 82.244 	2.000000 
AF4 	84.160 	 73.594 	 107.038 	5.000000 
FC3 	115.459 	 157.187 	 57.650 	4.000000 
FC4 	130.594 	 57.425 	 92.394 	5.000000 
CP3 	177.371 	 172.119 	 58.278 	5.000000 
CP4 	189.077 	 63.099 	 89.158 	5.000000 
PO3 	226.173 	 148.859 	 96.950 	5.000000 
PO4 	227.004 	 94.849 	 112.191 	6.000000 
F5 	84.046 	 177.224 	 97.382 	4.000000 
F6 	99.012 	 62.106 	 123.283 	6.000000 
C5 	142.002 	 198.263 	 89.414 	5.000000 
C6 	156.201 	 50.375 	 115.519 	5.000000 
P5 	208.472 	 181.470 	 96.684 	4.000000 
P6 	210.343 	 70.292 	 115.923 	2.000000 
AF7 	64.126 	 168.714 	 119.666 	1.000000 
AF8 	76.165 	 73.491 	 140.741 	2.000000 
FT7 	112.480 	 198.021 	 117.119 	4.000000 
FT8 	128.921 	 50.934 	 145.304 	8.000000 
TP7 	171.480 	 203.538 	 122.844 	2.000000 
TP8 	180.817 	 56.986 	 144.505 	6.000000 
PO7 	219.440 	 177.753 	 124.845 	3.000000 
PO8 	221.619 	 83.249 	 140.622 	1.000000 
Fpz 	48.255 	 118.641 	 122.641 	4.000000 
CPz 	179.435 	 115.540 	 47.309 	5.000000 
POz 	227.292 	 126.254 	 94.117 	3.000000 
Oz 	236.861 	 131.666 	 126.032 	4.000000 
