onset	duration	value	response	rt	good	a	bias	p	pv	ronda
5.1136	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
6.1292	1	10	2	2563	1	0	0	0.1	0.1	1
8.7098	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
12.3393	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
16.3517	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
17.3673	1	10	1	2704.7	1	0	0	0.4	0.4	2
20.0811	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
22.9947	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
27.0071	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
28.0227	1	10	1	2846.3	1	0	0	0.3	0.3	3
30.8864	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
34.3327	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
38.3451	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
39.3607	1	10	1	2693.9	1	0	0	0.3	0.3	4
42.0579	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
45.7873	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
49.7997	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
50.8153	1	10	1	3565.2	1	0.7	0.078935	0.9	0.85085	1
54.3949	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
57.1752	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
61.1877	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
66.199	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
67.2146	1	10	2	3190.6	1	0.5	0.71671	0.5	0.71671	2
70.4113	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
74.3071	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
78.3196	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
80.3341	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
81.3497	1	10	1	3579.1	1	0.5	0.067305	0.5	0.067305	3
84.9459	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
88.1758	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
92.1882	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
94.2028	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
95.2184	1	10	1	3191	1	0.8	0.83475	0.2	0.339	4
98.415	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
100.9456	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
104.958	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
106.9726	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
107.9882	1	10	2	2461.7	1	0	0	0.3	0.3	1
110.4523	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
113.6988	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
117.7113	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
118.7268	1	10	1	2420	1	0	0	0.5	0.5	2
121.1576	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
125.2366	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
132.2625	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
133.2781	1	10	1	2444.6	1	0	0	0.6	0.6	3
135.7255	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
138.5059	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
142.535	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
143.5506	1	10	1	1023.8	1	0	0	0.8	0.8	4
144.5828	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
149.0947	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
153.1238	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
154.1394	1	10	1	2946.2	1	0.6	0.025718	0.9	0.78858	1
157.1029	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
161.082	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
165.0945	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
167.109	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
168.1246	1	10	1	2699.6	1	0.8	0.042855	0.8	0.17142	2
170.8384	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
173.5356	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
177.548	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
179.5792	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
180.5948	1	10	1	2724.7	1	0.7	0.85506	0.3	0.6618	3
183.3252	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
186.2887	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
190.3012	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
195.3292	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
196.3448	1	10	2	3806.3	1	0.4	0.44009	0.2	0.020833	4
200.1574	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
204.1865	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
