onset	duration	value	responce	rt	good	a	bias	p	pv	ronda
3.6864	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
4.702	1	10	1	2921.2	1	0	0	0.6	0.6	1
7.6322	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
10.2794	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
14.2918	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
15.3074	1	10	2	886.2	1	0	0	0.1	0.1	2
16.2065	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
19.9026	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
23.915	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
24.9306	1	10	2	1030.9	1	0	0	0.1	0.1	3
25.9795	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
28.9097	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
32.9222	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
33.9377	1	10	2	1247.1	1	0	0	0.3	0.3	4
35.1864	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
39.4819	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
43.4943	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
44.5099	1	10	1	1885.5	1	0.5	0.96943	0.9	0.975	1
46.4079	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
50.3371	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
54.3495	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
59.3609	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
60.3765	1	10	2	1428.4	1	0.4	0.9954	0.1	0.1636	2
61.8083	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
65.521	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
69.5334	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
71.548	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
72.5636	1	10	2	1578.5	1	0.5	0.78485	0.3	0.38485	3
74.1452	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
78.1743	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
82.1867	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
84.2013	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
85.2169	1	10	2	2056	1	0.8	0.59953	0.4	0.39813	4
87.2813	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
91.6101	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
95.6225	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
97.6371	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
98.6527	1	10	2	600.8	1	0	0	0.2	0.2	1
99.2687	1	20	4	189.9	1	n/a	n/a	n/a	n/a	n/a
103.0147	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
107.0271	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
108.0427	1	10	2	1974.6	1	0	0	0.5	0.5	2
110.024	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
112.7711	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
119.7803	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
120.7959	1	10	2	1154	1	0	0	0.3	0.3	3
121.9613	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
124.4754	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
128.4878	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
129.5034	1	10	1	1045.9	1	0	0	0.9	0.9	4
130.5523	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
134.1152	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
