onset	duration	value	responce	rt	good	a	bias	p	pv	ronda
20.4878	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
21.5022	1	10	1	1940.1	1	0	0	0.5	0.5	1
23.4477	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
25.992	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
29.9996	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
31.014	1	10	2	1395.1	1	0	0	0.4	0.4	2
32.4108	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
35.0216	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
39.029	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
40.0435	1	10	2	5882.3	1	0	0	0.1	0.1	3
45.9302	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
49.0897	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
53.0974	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
54.1117	1	10	1	2460.8	1	0	0	0.7	0.7	4
56.5895	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
60.8631	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
64.8707	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
65.8851	1	10	1	2614.9	1	0.8	0.40046	0.5	0.10184	1
68.5125	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
72.4868	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
76.4944	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
81.5164	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
82.5308	1	10	1	2229	1	0.7	0.52389	0.4	0.22242	2
84.7757	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
88.8166	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
92.8242	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
94.8363	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
95.8507	1	10	1	1938.1	1	0.7	0.42236	0.6	0.65218	3
97.7962	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
101.4214	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
105.429	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
107.4411	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
108.4555	1	10	2	1870.4	1	0.4	0.57727	0.1	0.020833	4
110.3346	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
113.0783	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
117.086	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
119.0981	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
120.1125	1	10	1	2212.4	1	0	0	0.4	0.4	1
122.3407	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
125.3506	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
129.3582	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
130.3726	1	10	1	1328.2	1	0	0	0.7	0.7	2
131.7029	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
134.297	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
141.3145	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
142.3289	1	10	2	1179.5	1	0	0	0.1	0.1	3
