onset	duration	value	responce	rt	good	a	bias	p	pv	ronda
136.4879	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
140.5004	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
141.5159	1	10	1	1206.6	1	0	0	0.7	0.7	2
142.7313	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
146.6938	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
153.7031	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
154.7186	1	10	2	1627.1	1	0	0	0.4	0.4	3
156.3503	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
159.4636	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
163.4761	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
164.4917	1	10	2	1846.6	1	0	0	0.2	0.2	4
166.3563	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
169.2533	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
173.2657	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
174.2813	1	10	1	786.2	1	0.4	0.8978	0.2	0.2652	1
175.0805	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
177.8276	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
181.84	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
183.8545	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
184.8701	1	10	1	711.5	1	0.4	0.68717	0.2	0.12478	2
185.586	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
189.8149	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
193.8273	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
195.8418	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
196.8574	1	10	1	938.9	1	0.6	0.89141	0.1	0.08711	3
197.8064	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
200.9864	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
204.9988	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
210.0102	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
211.0258	1	10	1	1929.8	1	0.5	0.32041	0.4	0.12041	4
212.9737	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
216.8363	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
220.8487	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
222.8633	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
223.8789	1	10	2	952.1	1	0	0	0.2	0.2	1
224.8445	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
228.6905	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
232.7029	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
233.7185	1	10	1	1222.8	1	0	0	0.6	0.6	2
234.9505	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
239.0961	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
243.1085	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
244.1241	1	10	1	947.4	1	0	0	0.8	0.8	3
245.0898	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
248.353	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
252.3654	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
253.381	1	10	1	1223.1	1	0	0	0.8	0.8	4
254.613	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
