onset	duration	value	response	rt	good	a	bias	p	pv	ronda
4.473	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
5.4874	1	10	1	2009.8	1	0	0	0.8	0.8	1
7.4996	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
10.2601	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
14.2678	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
15.2822	1	10	1	2229.1	1	0	0	0.4	0.4	2
17.5272	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
20.6868	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
24.6946	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
25.709	1	10	2	1169.8	1	0	0	0.3	0.3	3
26.8897	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
29.9163	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
33.924	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
34.9384	1	10	1	1120.3	1	0	0	0.6	0.6	4
36.0692	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
38.6302	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
42.6379	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
43.6523	1	10	2	3088.3	1	0.4	0.031273	0.5	0.18752	1
46.7454	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
49.456	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
53.4638	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
58.4693	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
59.4837	1	10	2	4261.8	1	0.7	0.22079	0.8	0.84852	2
63.7575	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
66.8672	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
70.875	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
72.8871	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
73.9015	1	10	2	2029.8	1	0.4	0.85538	0.1	0.070254	3
75.947	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
79.8716	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
83.8793	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
85.8915	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
86.9059	1	10	1	3099.4	1	0.7	0.74558	0.1	0.041667	4
90.0156	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
93.2916	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
97.2994	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
99.3115	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
100.326	1	10	1	2398.8	1	0	0	0.7	0.7	1
102.7373	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
106.0465	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
110.0543	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
111.0687	1	10	1	1719.3	1	0	0	0.7	0.7	2
112.7981	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
