onset	duration	value	response	rt	good	TMSips	TMSppc	TMSvertex	a	bias	delta	fixed	p	pv	ronda
130.1048	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
130.2048	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
130.4148	1	30	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.2	0	n/a	n/a	n/a
132.4312	1	10	1500.5	1500.5	1	0	0	1	0	0	-0.2	0	0.9	0.9	7
133.9478	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
135.1858	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
135.2858	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
135.4978	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
137.5142	1	10	2097.4	2097.4	1	0	0	1	0	0	-0.1	0	0.1	0.1	8
139.6142	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
140.7632	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
140.8632	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
141.0808	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-5.8208e-11	0	n/a	n/a	n/a
143.0972	1	10	1122.2	1122.2	1	0	0	1	0	0	-0.2	0	0.9	0.9	9
144.2306	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.2	0	n/a	n/a	n/a
145.6686	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
145.7686	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
145.9804	1	30	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-5.8208e-11	0	n/a	n/a	n/a
147.997	1	10	1790.4	1790.4	1	0	0	1	0	0	2.9104e-11	0	0.9	0.9	10
149.7968	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
151.396	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.2	0	n/a	n/a	n/a
151.4958	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.2	0	n/a	n/a	n/a
151.7134	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	2.9104e-11	0	n/a	n/a	n/a
162.7462	1	10	5008.9	5008.9	1	0	0	1	0.6	0.55081	0.1	0	0.7	0.96875	11
167.7624	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.2	0	n/a	n/a	n/a
169.3366	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.2	0	n/a	n/a	n/a
169.4364	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.2	0	n/a	n/a	n/a
169.6458	1	30	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.2	0	n/a	n/a	n/a
171.6622	1	40	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.2	0	n/a	n/a	n/a
173.6788	1	10	1436.1	1436.1	1	0	0	1	0.4	0.34688	0.1	0	0.6	0.56458	12
175.1288	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
176.3258	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
176.4258	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
176.6286	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
178.6452	1	40	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
180.6618	1	10	1364.9	1364.9	1	0	0	1	0.8	0.99392	-5.8208e-11	0	0.1	0.47566	13
182.045	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	5.8208e-11	0	n/a	n/a	n/a
183.264	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
183.364	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
183.5782	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
185.5948	1	40	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
187.6114	1	10	1439.2	1439.2	1	0	0	1	0.4	0.77597	2.9104e-11	0	0.4	0.51732	14
189.0612	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
190.4662	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
190.5662	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
190.7778	1	30	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
192.7944	1	40	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
194.8108	1	10	1135.5	1135.5	1	0	0	1	0.5	0.8083	-0.2	0	0.2	0.2083	15
195.9608	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
197.6688	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
197.7688	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
197.9774	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	2.9104e-11	0	n/a	n/a	n/a
199.994	1	40	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
202.0104	1	10	815.7	815.7	1	0	0	1	0.4	0.92205	-0.2	0	0.1	0.1147	16
202.8438	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
204.1788	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
204.2788	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
204.4936	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
206.5102	1	40	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
208.5268	1	10	2395.3	2395.3	1	0	0	1	0.8	0.18843	0	0	0.7	0.25373	17
210.9266	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
212.5346	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
212.6346	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
212.8432	1	30	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
214.8598	1	40	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
216.8762	1	10	1789.6	1789.6	1	0	0	1	0.5	0.76995	-0.1	0	0.4	0.56995	18
218.6762	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
220.5502	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
220.6502	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
220.8594	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
222.8758	1	40	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.2	0	n/a	n/a	n/a
224.8924	1	10	957.2	957.2	1	0	0	1	0.6	0.31518	2.9104e-11	0	0.6	0.47277	19
225.859	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-2.9104e-11	0	n/a	n/a	n/a
227.455	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
227.555	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
227.759	1	30	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
229.7754	1	40	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
231.792	1	10	1081.5	1081.5	1	0	0	1	0.4	0.87811	-2.9104e-11	0	0.1	0.085409	20
232.892	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
234.692	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
234.792	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
235.0086	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-2.9104e-11	0	n/a	n/a	n/a
237.025	1	40	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
248.0578	1	10	1167.5	1167.5	1	0	0	1	0	0	0.1	0	0.1	0.1	21
249.241	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
251.195	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
251.295	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
251.5076	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	2.9104e-11	0	n/a	n/a	n/a
253.524	1	10	629	629	1	0	0	1	0	0	-0.1	0	0.1	0.1	22
254.1574	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
255.6804	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
255.7804	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
255.9906	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	5.8208e-11	0	n/a	n/a	n/a
258.0072	1	10	785.8	785.8	1	0	0	1	0	0	2.9104e-11	0	0.2	0.2	23
258.807	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
259.9342	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
260.0342	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
260.2404	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-8.7311e-11	0	n/a	n/a	n/a
262.2568	1	10	2423.9	2423.9	1	0	0	1	0	0	-0.2	0	0.1	0.1	24
264.69	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	5.8208e-11	0	n/a	n/a	n/a
266.447	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
266.547	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
266.7566	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
268.7732	1	10	1347.5	1347.5	1	0	0	1	0	0	5.8208e-11	0	0.3	0.3	25
270.1232	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
271.9862	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
272.0862	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
272.2896	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
274.3062	1	10	710.4	710.4	1	0	0	1	0	0	5.8208e-11	0	0.8	0.8	26
275.0228	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-1.1642e-10	0	n/a	n/a	n/a
276.7978	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
276.8978	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
277.106	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	5.8208e-11	0	n/a	n/a	n/a
279.1226	1	10	2901.9	2901.9	1	0	0	1	0	0	0	0	0.5	0.5	27
282.039	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
283.799	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
283.899	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
284.1056	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
286.1222	1	10	1102.2	1102.2	1	0	0	1	0	0	0.1	0	0.9	0.9	28
287.2388	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-1.1642e-10	0	n/a	n/a	n/a
289.1878	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
289.2878	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
289.5052	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.2	0	n/a	n/a	n/a
291.5218	1	10	1366.4	1366.4	1	0	0	1	0	0	0.1	0	0.2	0.2	29
292.905	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
294.284	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
294.384	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
294.5884	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.2	0	n/a	n/a	n/a
296.6048	1	10	571.2	571.2	1	0	0	1	0	0	-0.2	0	0.2	0.2	30
297.1882	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
298.9472	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
299.0472	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
299.2548	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
310.2874	1	10	1592.4	1592.4	1	0	0	1	0.6	0.12541	-0.1	0	0.6	0.18811	31
311.8872	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.2	0	n/a	n/a	n/a
313.7464	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.2	0	n/a	n/a	n/a
313.8464	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
314.0538	1	30	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
316.0704	1	40	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	5.8208e-11	0	n/a	n/a	n/a
318.087	1	10	1472.6	1472.6	1	0	0	1	0.6	0.8967	0.1	0	0.1	0.095054	32
319.5702	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
321.4672	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
321.5672	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
321.77	1	30	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	5.8208e-11	0	n/a	n/a	n/a
323.7866	1	40	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-1.1642e-10	0	n/a	n/a	n/a
325.8032	1	10	1436.2	1436.2	1	0	0	1	0.5	0.38119	5.8208e-11	0	0.5	0.38119	33
327.253	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
329.058	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
329.158	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
329.3696	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
331.3862	1	40	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	5.8208e-11	0	n/a	n/a	n/a
333.4026	1	10	1004.6	1004.6	1	0	0	1	0.8	0.90741	-0.1	0	0.1	0.12963	34
334.4192	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
336.3654	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.2	0	n/a	n/a	n/a
336.4652	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.2	0	n/a	n/a	n/a
336.6692	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.2	0	n/a	n/a	n/a
338.6858	1	40	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
340.7022	1	10	1224.8	1224.8	1	0	0	1	0.5	0.79579	-0.1	0	0.2	0.19579	35
341.9356	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
343.2626	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
343.3626	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
343.5688	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	5.8208e-11	0	n/a	n/a	n/a
345.5854	1	40	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	5.8208e-11	0	n/a	n/a	n/a
347.6018	1	10	917	917	1	0	0	1	0.6	0.72298	-0.2	0	0.1	0.03125	36
348.5352	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.2	0	n/a	n/a	n/a
350.4502	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
350.5502	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
350.7516	1	30	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
352.7682	1	40	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
354.7848	1	10	1494	1494	1	0	0	1	0.4	0.80004	0	0	0.5	0.70002	37
356.2846	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
358.1746	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
358.2746	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
358.4846	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.2	0	n/a	n/a	n/a
360.501	1	40	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
362.5176	1	10	912.9	912.9	1	0	0	1	0.7	0.00068526	0	0	0.1	0.041667	38
363.4342	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	5.8208e-11	0	n/a	n/a	n/a
364.5692	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
364.6692	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
364.8842	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
366.9008	1	40	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
368.9172	1	10	2113.2	2113.2	1	0	0	1	0.7	0.45099	-0.1	0	0.4	0.052316	39
371.0338	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-1.1642e-10	0	n/a	n/a	n/a
373.0258	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
373.1258	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
373.3336	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
375.3502	1	40	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
377.3668	1	10	2959.4	2959.4	1	0	0	1	0.7	0.64858	-1.1642e-10	0	0.7	0.95833	40
380.3332	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
381.9982	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
382.0982	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
382.2998	1	30	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
384.3164	1	40	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	5.8208e-11	0	n/a	n/a	n/a
428.897	1	10	1252	1252	1	0	0	1	0	0	-0.3	0	0.1	0.1	1
430.1636	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
431.2896	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
431.3896	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
431.5968	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	5.8208e-11	0	n/a	n/a	n/a
433.6134	1	10	775.5	775.5	1	0	0	1	0	0	5.8208e-11	0	0.2	0.2	2
434.3968	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
436.2458	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
436.3458	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
436.5632	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
438.5798	1	10	1457	1457	1	0	0	1	0	0	0	0	0.1	0.1	3
440.0464	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	5.8208e-11	0	n/a	n/a	n/a
441.2154	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
441.3154	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
441.5296	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-1.1642e-10	0	n/a	n/a	n/a
443.5462	1	10	1082.5	1082.5	1	0	0	1	0	0	5.8208e-11	0	0.1	0.1	4
444.6462	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
446.2362	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
446.3362	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
446.546	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
448.5626	1	10	1442	1442	1	0	0	1	0	0	0	0	0.7	0.7	5
450.0124	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
451.6944	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
451.7944	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
452.0124	1	30	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
454.0288	1	10	823.6	823.6	1	0	0	1	0	0	-0.1	0	0.3	0.3	6
454.8622	1	20	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0.1	0	n/a	n/a	n/a
456.0782	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
456.1782	1	80	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	0	0	n/a	n/a	n/a
456.3954	1	31	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	-0.1	0	n/a	n/a	n/a
