name	x	y	z	impedance 
Fp1 	48.637 	 150.003 	 114.637 	0.000000 
Fp2 	54.989 	 91.405 	 117.394 	0.000000 
F3 	89.618 	 167.582 	 73.805 	4.000000 
F4 	98.919 	 77.042 	 81.463 	0.000000 
C3 	146.843 	 183.759 	 63.378 	1.000000 
C4 	155.017 	 62.185 	 71.845 	1.000000 
P3 	205.368 	 174.271 	 74.228 	4.000000 
P4 	212.899 	 83.063 	 81.760 	4.000000 
O1 	237.432 	 160.422 	 122.204 	5.000000 
O2 	240.576 	 102.898 	 124.513 	3.000000 
F7 	90.558 	 193.525 	 115.183 	3.000000 
F8 	100.763 	 55.493 	 118.958 	5.000000 
T7 	144.947 	 205.228 	 118.618 	7.000000 
T8 	150.111 	 48.334 	 125.253 	2.000000 
P7 	199.218 	 197.478 	 123.068 	5.000000 
P8 	207.721 	 62.593 	 126.975 	4.000000 
Fz 	91.044 	 118.036 	 60.390 	1.000000 
Cz 	149.257 	 119.066 	 41.334 	2.000000 
Pz 	211.648 	 126.887 	 60.936 	5.000000 
Iz 	240.333 	 131.829 	 152.557 	4.000000 
FC1 	118.572 	 145.242 	 48.372 	2.000000 
FC2 	124.646 	 91.134 	 58.998 	6.000000 
CP1 	177.403 	 148.443 	 44.565 	2.000000 
CP2 	182.871 	 97.895 	 48.895 	4.000000 
FC5 	114.927 	 194.019 	 88.885 	1.000000 
FC6 	122.310 	 54.295 	 97.247 	1.000000 
CP5 	177.411 	 197.447 	 87.871 	4.000000 
CP6 	182.220 	 58.044 	 100.499 	5.000000 
TP9 	177.854 	 200.617 	 155.876 	5.000000 
TP10 	183.831 	 53.838 	 162.136 	5.000000 
31 	176.652 	 195.625 	 180.415 	3.000000 
32 	176.778 	 67.457 	 196.808 	5.000000 
F1 	88.641 	 142.755 	 61.418 	6.000000 
F2 	94.377 	 93.814 	 69.787 	3.000000 
C1 	150.518 	 147.812 	 43.346 	3.000000 
C2 	152.282 	 89.668 	 51.323 	4.000000 
P1 	204.895 	 153.465 	 60.402 	5.000000 
P2 	209.878 	 99.905 	 64.101 	2.000000 
AF3 	64.605 	 150.688 	 86.136 	9.000000 
AF4 	72.379 	 87.280 	 93.391 	8.000000 
FC3 	116.829 	 172.976 	 63.877 	6.000000 
FC4 	123.446 	 69.269 	 75.318 	3.000000 
CP3 	178.198 	 178.572 	 63.427 	3.000000 
CP4 	184.309 	 66.710 	 73.616 	2.000000 
PO3 	227.403 	 156.775 	 89.101 	4.000000 
PO4 	230.096 	 98.815 	 94.493 	3.000000 
F5 	87.184 	 182.155 	 94.305 	3.000000 
F6 	96.409 	 63.135 	 101.546 	1.000000 
C5 	145.810 	 202.141 	 90.741 	1.000000 
C6 	155.061 	 52.562 	 98.839 	5.000000 
P5 	205.136 	 189.189 	 97.380 	6.000000 
P6 	212.585 	 72.408 	 103.564 	6.000000 
AF7 	67.451 	 177.840 	 116.392 	5.000000 
AF8 	74.069 	 73.996 	 112.679 	1.000000 
FT7 	114.906 	 202.060 	 115.226 	5.000000 
FT8 	122.340 	 49.909 	 127.958 	3.000000 
TP7 	177.289 	 201.964 	 122.842 	3.000000 
TP8 	176.863 	 52.865 	 130.864 	5.000000 
PO7 	223.816 	 177.900 	 121.505 	2.000000 
PO8 	229.580 	 83.718 	 130.293 	3.000000 
Fpz 	47.289 	 116.873 	 109.636 	6.000000 
CPz 	190.058 	 121.737 	 45.262 	4.000000 
POz 	234.279 	 127.994 	 90.769 	4.000000 
Oz 	244.589 	 129.959 	 124.772 	7.000000 
