onset	duration	value	response	rt	good	a	bias	p	pv	ronda
29.3988	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
30.4132	1	10	2	1182.9	1	0	0	0.2	0.2	1
31.6105	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
35.4684	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
39.476	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
40.4904	1	10	1	1283.3	1	0	0	0.7	0.7	2
41.7875	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
45.4458	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
49.4534	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
50.4678	1	10	1	2844.6	1	0	0	0.5	0.5	3
53.328	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
56.4543	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
60.4619	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
61.4763	1	10	2	2313.8	1	0	0	0.4	0.4	4
63.8043	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
66.598	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
70.6056	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
71.62	1	10	2	3005.3	1	0.7	0.74986	0.9	0.95833	1
74.6298	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
78.8869	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
82.8945	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
87.9164	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
88.9308	1	10	2	3507	1	0.4	0.99715	0.1	0.16477	2
92.4396	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
95.8152	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
99.8229	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
101.835	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
102.8493	1	10	1	2875.8	1	0.5	0.45883	0.3	0.058831	3
105.7428	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
109.0354	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
113.0429	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
115.0551	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
116.0694	1	10	2	2076.7	1	0.4	0.34082	0.2	0.020833	4
118.1481	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
121.108	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
125.1157	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
127.1278	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
128.1421	1	10	1	3713.7	1	0	0	0.5	0.5	1
131.867	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
135.8081	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
139.8157	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
140.8301	1	10	1	1070.2	1	0	0	0.9	0.9	2
141.911	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
146.3842	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
153.4017	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
154.416	1	10	2	910.5	1	0	0	0.1	0.1	3
155.3306	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
159.2385	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
163.2461	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
164.2604	1	10	1	1057.9	1	0	0	0.7	0.7	4
165.3247	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
168.4343	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
172.4419	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
173.4563	1	10	2	2883.5	1	0.7	0.24907	0.7	0.58115	1
176.3498	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
180.1412	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
184.1488	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
186.1609	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
187.1753	1	10	2	3438	1	0.7	0.76275	0.3	0.44643	2
190.6175	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
194.8579	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
198.8655	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
200.8776	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
201.8918	1	10	1	4128.1	1	0.6	0.16407	0.8	0.7461	3
206.0326	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
208.6268	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
212.6344	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
217.6563	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
218.6707	1	10	2	2704.8	1	0.7	0.69013	0.5	0.94364	4
221.3812	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
225.8877	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
229.8953	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
231.9074	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
232.9218	1	10	2	1003.1	1	0	0	0.1	0.1	1
233.9362	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
237.6777	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
241.702	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
242.7163	1	10	2	1209.5	1	0	0	0.1	0.1	2
243.9302	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
248.2372	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
252.2614	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
253.2758	1	10	1	1008.6	1	0	0	0.6	0.6	3
254.2902	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
257.1171	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
261.1413	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
262.1557	1	10	2	813.3	1	0	0	0.3	0.3	4
262.9705	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
265.864	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
272.8814	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
273.8958	1	10	2	2352.2	1	0.6	0.52578	0.4	0.28867	1
276.2571	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
279.6993	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
283.7069	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
285.7191	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
286.7334	1	10	1	1565.2	1	0.4	0.061725	0.8	0.70782	2
288.3132	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
292.6035	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
296.6111	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
298.6232	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
299.6376	1	10	2	3863.4	1	0.8	0.61683	0.3	0.0625	3
303.5121	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
306.3557	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
310.3633	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
312.3754	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
313.3898	1	10	1	1848.8	1	0.6	0.96336	0.1	0.19504	4
315.2523	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
318.8608	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
322.8684	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
324.8805	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
325.8949	1	10	2	1140.9	1	0	0	0.2	0.2	1
327.0423	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
329.6364	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
336.6539	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
337.6682	1	10	2	741.3	1	0	0	0.3	0.3	2
338.4165	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
341.3432	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
345.3675	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
346.3818	1	10	1	1348.1	1	0	0	0.5	0.5	3
347.7454	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
351.1045	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
355.1287	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
356.1431	1	10	1	896	1	0	0	0.6	0.6	4
357.0411	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
360.8824	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
364.9066	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
365.921	1	10	1	3245.1	1	0.6	0.19992	0.5	0.049873	1
369.1803	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
372.3398	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
376.3474	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
378.3595	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
379.3739	1	10	1	2070	1	0.6	0.63445	0.1	0.03125	2
381.4525	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
384.2296	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
388.2372	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
393.2591	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
394.2735	1	10	1	3054.6	1	0.7	0.081497	0.9	0.85683	3
397.3333	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
400.9584	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
404.966	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
406.9781	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
407.9925	1	10	2	2177.1	1	0.5	0.19681	0.6	0.39681	4
410.1875	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
412.948	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
416.9555	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
418.9843	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
419.9987	1	10	1	1977.5	1	0	0	0.5	0.5	1
421.9941	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
426.2512	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
430.2754	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
431.2898	1	10	1	2243.2	1	0	0	0.8	0.8	2
433.5347	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
436.2286	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
440.2529	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
441.2672	1	10	1	2790.7	1	0	0	0.1	0.1	3
444.0609	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
447.9189	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
454.9363	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
455.9507	1	10	2	1811.9	1	0	0	0.2	0.2	4
457.7799	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
461.0558	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
465.08	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
466.0944	1	10	2	2327.1	1	0.6	0.30709	0.8	0.96063	1
468.4391	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
472.4467	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
476.4543	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
478.4831	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
479.4974	1	10	1	2431.5	1	0.8	0.18053	0.7	0.22211	2
481.9419	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
485.4506	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
489.4582	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
491.487	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
492.5014	1	10	1	2497.4	1	0.8	0.22969	0.7	0.41877	3
495.0123	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
499.0532	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
503.0608	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
505.0895	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
506.1039	1	10	1	2936.8	1	0.5	0.90711	0.4	0.70711	4
509.0473	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
512.2068	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
516.2144	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
