onset	duration	value	response	rt	good	a	bias	p	pv	ronda
5.401	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
6.4153	1	10	2	2414.5	1	0	0	0.7	0.7	1
8.8432	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
11.5703	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
15.578	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
16.5923	1	10	2	2384.7	1	0	0	0.2	0.2	2
18.9869	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
23.2938	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
27.3014	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
28.3158	1	10	1	2516.5	1	0	0	0.4	0.4	3
30.8434	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
34.136	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
38.1436	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
39.158	1	10	1	3824.3	1	0	0	0.9	0.9	4
42.9993	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
47.3228	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
51.3304	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
52.3448	1	10	1	4796.6	1	0.5	0.15782	0.5	0.15782	1
57.1506	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
60.8921	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
64.8997	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
69.9051	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
70.9195	1	10	1	2449.5	1	0.6	0.87477	0.1	0.062149	2
73.3805	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
76.3738	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
80.3814	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
82.3935	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
83.4079	1	10	1	2560.5	1	0.6	0.95771	0.2	0.43656	3
85.9854	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
89.0451	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
93.0527	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
95.0648	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
96.0792	1	10	1	2480.5	1	0.8	0.31491	0.6	0.25963	4
98.5736	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
103.0135	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
107.0211	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
109.0332	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
110.0476	1	10	2	2796.4	1	0	0	0.5	0.5	1
112.8579	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
116.1671	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
120.1747	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
121.1891	1	10	2	1902.4	1	0	0	0.1	0.1	2
123.1014	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
127.4582	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
134.4757	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
135.4901	1	10	1	1516.3	1	0	0	0.9	0.9	3
137.0199	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
141.0275	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
145.0351	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
146.0495	1	10	2	1217.4	1	0	0	0.2	0.2	4
147.2801	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
149.9075	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
153.9151	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
154.9294	1	10	2	4463	1	0.7	0.39387	0.5	0.25236	1
159.4027	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
162.3959	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
166.4035	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
168.4156	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
169.43	1	10	1	4601.4	1	0.7	0.83028	0.2	0.27066	2
174.0362	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
177.3288	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
181.3364	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
183.3485	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
184.3629	1	10	2	2291.9	1	0.5	0.83546	0.4	0.63546	3
186.6577	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
190.05	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
194.0576	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
199.0796	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
200.0939	1	10	2	1686	1	0.7	0.572	0.5	0.66799	4
201.7901	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
204.4009	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
208.4085	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
210.4206	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
211.435	1	10	1	2531.7	1	0	0	0.5	0.5	1
213.9792	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
216.8061	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
220.8304	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
221.8447	1	10	2	1084	1	0	0	0.1	0.1	2
222.9423	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
225.8025	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
229.8267	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
230.8411	1	10	2	1404.8	1	0	0	0.1	0.1	3
232.2545	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
236.7278	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
240.752	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
241.7664	1	10	2	1560.2	1	0	0	0.6	0.6	4
243.3295	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
246.4225	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
253.44	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
254.4543	1	10	2	1466.6	1	0.7	0.97662	0.2	0.61211	1
255.9343	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
259.626	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
263.6336	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
265.6457	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
266.66	1	10	2	1436.6	1	0.5	0.73976	0.4	0.53976	2
268.1068	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
272.1476	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
276.1552	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
278.1674	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
279.1817	1	10	1	4344.7	1	0.6	0.71947	0.9	0.96875	3
283.5385	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
287.8122	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
291.8198	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
293.8319	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
294.8463	1	10	2	2327.6	1	0.7	0.25892	0.7	0.60415	4
297.191	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
300.5667	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
304.5743	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
306.5864	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
307.6008	1	10	1	1390.4	1	0	0	0.6	0.6	1
